Distance (Bohr),Nuclear Repulsion Energy (Hartree),AP1roGSDGeneralized_free Electronic Energy (Hartree),AP1roGSDGeneralized_free Total Energy (Hartree)
0,3.346456693,-19.09917055,-15.75271386
1,3.706740094,-19.42788119,-15.7211411
2,3.416897489,-19.05404971,-15.63715222
2.5,3.156487659,-18.71996915,-15.56348149
2.75,3.031382611,-18.57935282,-15.54797021
3,2.91824271,-18.4583737,-15.54013099
3.5,2.746694324,-18.34727757,-15.60058324
4,2.684346649,-18.3536417,-15.66929505
6,2.038636566,-17.7383534,-15.69971683
20,1.114040939,-16.81586419,-15.70182325
