Distance (Bohr),Nuclear Repulsion Energy (Hartree),AP1roGSDGeneralized_sen-v Electronic Energy (Hartree),AP1roGSDGeneralized_sen-v Total Energy (Hartree)
0,3.346456693,-19.1046538,-15.7581971
1,3.706740094,-19.43310001,-15.72635992
2,3.416897489,-19.06101763,-15.64412014
2.5,3.156487659,-18.72319385,-15.56670619
2.75,3.031382611,-18.57441579,-15.54303318
3,2.91824271,-18.46501488,-15.54677217
3.5,2.746694324,-18.34554784,-15.59885352
4,2.684346649,-18.35163459,-15.66728794
6,2.038636566,-17.73812283,-15.69948626
20,1.114040939,-16.81571359,-15.70167266
