Distance (Bohr),Nuclear Repulsion Energy (Hartree),AP1roGSDSpin_sen-ov Electronic Energy (Hartree),AP1roGSDSpin_sen-ov Total Energy (Hartree)
0,3.346456693,-19.08853683,-15.74208014
1,3.706740094,-19.41899384,-15.71225374
2,3.416897489,-19.03843815,-15.62154066
2.5,3.156487659,-18.70995925,-15.55347159
2.75,3.031382611,-18.57431382,-15.54293121
3,2.91824271,-18.45380946,-15.53556675
3.5,2.746694324,-18.33844241,-15.59174808
4,2.684346649,-18.35125575,-15.6669091
6,2.038636566,-17.73808977,-15.69945321
20,1.114040939,-16.81571787,-15.70167693
