Distance (Bohr),Nuclear Repulsion Energy (Hartree),FCI Electronic Energy (Hartree),FCI Total Energy (Hartree)
0,3.346456693,-19.10543041,-15.75897372
1,3.706740094,-19.4352663,-15.72852621
2,3.416897489,-19.06562923,-15.64873174
2.5,3.156487659,-18.75073274,-15.59424508
2.75,3.031382611,-18.61510613,-15.58372352
3,2.91824271,-18.48663684,-15.56839413
3.5,2.746694324,-18.36551215,-15.61881783
4,2.684346649,-18.35769586,-15.67334921
6,2.038636566,-17.73889015,-15.70025359
20,1.114040939,-16.81605879,-15.70201785
