Distance (Bohr),Nuclear Repulsion Energy (Hartree),HF Electronic Energy (Hartree),HF Total Energy (Hartree)
0,3.346456693,-19.06962982,-15.72317313
1,3.706740094,-19.40277635,-15.69603625
2,3.416897489,-19.01869004,-15.60179255
2.5,3.156487659,-18.66435045,-15.50786279
2.75,3.031382611,-18.48371599,-15.45233338
3,2.91824271,-18.35203424,-15.43379153
3.5,2.746694324,-18.27804126,-15.53134694
4,2.684346649,-18.28306068,-15.59871403
6,2.038636566,-17.66537907,-15.6267425
20,1.114040939,-16.74272643,-15.62868549
