Distance (Bohr),Nuclear Repulsion Energy (Hartree),pCCD Electronic Energy (Hartree),pCCD Total Energy (Hartree)
0,3.346456693,-19.08822717,-15.74177048
1,3.706740094,-19.41884365,-15.71210355
2,3.416897489,-19.03838432,-15.62148683
2.5,3.156487659,-18.69302829,-15.53654063
2.75,3.031382611,-18.51995998,-15.48857737
3,2.91824271,-18.4093391,-15.49109639
3.5,2.746694324,-18.33785432,-15.59115999
4,2.684346649,-18.3509541,-15.66660745
6,2.038636566,-17.73808737,-15.69945081
20,1.114040939,-16.81570732,-15.70166638
