Distance (Bohr),Nuclear Repulsion Energy (Hartree),AP1roGSDGeneralized_sen-o Electronic Energy (Hartree),AP1roGSDGeneralized_sen-o Total Energy (Hartree)
0,3.346456693,-19.09917293,-15.75271623
1,3.706740094,-19.42788067,-15.72114057
2,3.416897489,-19.0540481,-15.63715061
2.5,3.156487659,-18.71991193,-15.56342427
2.75,3.031382611,-18.57934701,-15.5479644
3,2.91824271,-18.46003223,-15.54178952
3.5,2.746694324,-18.34726934,-15.60057501
4,2.684346649,-18.35366663,-15.66931998
6,2.038636566,-17.73828848,-15.69965192
20,1.114040939,-16.81585225,-15.70181131
