Distance (Bohr),Nuclear Repulsion Energy (Hartree),AP1roGSDSpin_sen-o Electronic Energy (Hartree),AP1roGSDSpin_sen-o Total Energy (Hartree)
0,3.346456693,-19.08853757,-15.74208087
1,3.706740094,-19.41898709,-15.712247
2,3.416897489,-19.03844336,-15.62154587
2.5,3.156487659,-18.71399794,-15.55751028
2.75,3.031382611,-18.57840447,-15.54702185
3,2.91824271,-18.45410889,-15.53586618
3.5,2.746694324,-18.33849421,-15.59179988
4,2.684346649,-18.3512386,-15.66689195
6,2.038636566,-17.7380947,-15.69945814
20,1.114040939,-16.81576147,-15.70172053
