Distance (Bohr),Nuclear Repulsion Energy (Hartree),APG1roD Electronic Energy (Hartree),APG1roD Total Energy (Hartree)
0,3.346456693,-19.08819023,-15.74173353
1,3.706740094,-19.41930937,-15.71256927
2,3.416897489,-19.03958571,-15.62268822
2.5,3.156487659,-18.69542853,-15.53894087
2.75,3.031382611,-18.52525536,-15.49387275
3,2.91824271,-18.43953957,-15.52129686
3.5,2.746694324,-18.35412913,-15.6074348
4,2.684346649,-18.35317507,-15.66882842
6,2.038636566,-17.73818034,-15.69954378
20,1.114040939,-16.81570356,-15.70166262
