Distance (Bohr),Nuclear Repulsion Energy (Hartree),APG1roSD_free Electronic Energy (Hartree),APG1roSD_free Total Energy (Hartree)
0,3.346456693,-19.09919552,-15.75273883
1,3.706740094,-19.42910283,-15.72236273
2,3.416897489,-19.05693288,-15.64003539
2.5,3.156487659,-18.73677673,-15.58028907
2.75,3.031382611,-18.59490326,-15.56352065
3,2.91824271,-18.47612399,-15.55788128
3.5,2.746694324,-18.36177263,-15.6150783
4,2.684346649,-18.35572651,-15.67137987
6,2.038636566,-17.73840247,-15.6997659
20,1.114040939,-16.81586487,-15.70182393
