Distance (Bohr),Nuclear Repulsion Energy (Hartree),APG1roSD_sen-o Electronic Energy (Hartree),APG1roSD_sen-o Total Energy (Hartree)
0,3.346456693,-19.09919854,-15.75274185
1,3.706740094,-19.42910838,-15.72236828
2,3.416897489,-19.05693274,-15.64003526
2.5,3.156487659,-18.73677883,-15.58029117
2.75,3.031382611,-18.59489963,-15.56351702
3,2.91824271,-18.47610348,-15.55786077
3.5,2.746694324,-18.36173823,-15.61504391
4,2.684346649,-18.35569176,-15.67134511
6,2.038636566,-17.73838379,-15.69974722
20,1.114040939,-16.81586718,-15.70182624
