Distance (Bohr),Nuclear Repulsion Energy (Hartree),APset1roGD Electronic Energy (Hartree),APset1roGD Total Energy (Hartree)
0,3.346456693,-19.08818263,-15.74172594
1,3.706740094,-19.41935324,-15.71261315
2,3.416897489,-19.03956943,-15.62267194
2.5,3.156487659,-18.69539367,-15.53890602
2.75,3.031382611,-18.52519643,-15.49381382
3,2.91824271,-18.43940081,-15.5211581
3.5,2.746694324,-18.35414815,-15.60745383
4,2.684346649,-18.35312093,-15.66877428
6,2.038636566,-17.73812051,-15.69948395
20,1.114040939,-16.81570442,-15.70166348
