Distance (Bohr),Nuclear Repulsion Energy (Hartree),APset1roGSD_sen-o Electronic Energy (Hartree),APset1roGSD_sen-o Total Energy (Hartree)
0,3.346456693,-19.08853839,-15.7420817
1,3.706740094,-19.41955962,-15.71281953
2,3.416897489,-19.0396664,-15.62276891
2.5,3.156487659,-18.72405575,-15.56756809
2.75,3.031382611,-18.58554735,-15.55416474
3,2.91824271,-18.46578948,-15.54754677
3.5,2.746694324,-18.35466259,-15.60796827
4,2.684346649,-18.35338224,-15.66903559
6,2.038636566,-17.73818589,-15.69954932
20,1.114040939,-16.81576749,-15.70172655
