Distance (Bohr),Nuclear Repulsion Energy (Hartree),APset1roGSD_sen-ov Electronic Energy (Hartree),APset1roGSD_sen-ov Total Energy (Hartree)
0,3.346456693,-19.08853933,-15.74208264
1,3.706740094,-19.41956846,-15.71282836
2,3.416897489,-19.03966799,-15.6227705
2.5,3.156487659,-18.72394248,-15.56745482
2.75,3.031382611,-18.5947765,-15.56339389
3,2.91824271,-18.46509381,-15.5468511
3.5,2.746694324,-18.35465031,-15.60795599
4,2.684346649,-18.35340413,-15.66905748
6,2.038636566,-17.73821962,-15.69958305
20,1.114040939,-16.81573789,-15.70169695
