Distance (Bohr),Nuclear Repulsion Energy (Hartree),APset1roGSD_sen-v Electronic Energy (Hartree),APset1roGSD_sen-v Total Energy (Hartree)
0,3.346456693,-19.08853365,-15.74207696
1,3.706740094,-19.41956886,-15.71282877
2,3.416897489,-19.03966694,-15.62276945
2.5,3.156487659,-18.72399821,-15.56751055
2.75,3.031382611,-18.59421726,-15.56283465
3,2.91824271,-18.4651188,-15.54687609
3.5,2.746694324,-18.35463265,-15.60793833
4,2.684346649,-18.35339694,-15.66905029
6,2.038636566,-17.73821336,-15.69957679
20,1.114040939,-16.81575421,-15.70171327
