Distance (Angstrom),Nuclear Repulsion Energy (Hartree),APG1roSD_free Electronic Energy (Hartree),APG1roSD_free Total Energy (Hartree)
0.5,20.41532081,-23.80397248,-3.388651669
0.55,18.55938255,-22.59807318,-4.038690623
0.6,17.01276733,-21.50826268,-4.495495348
0.65,15.70409294,-20.51955554,-4.815462598
0.7,14.58237201,-19.61911237,-5.036740366
0.75,13.61021387,-18.79595477,-5.185740896
0.8,12.7595755,-18.0407672,-5.281191693
0.85,12.00901224,-17.34566656,-5.33665432
0.9,11.3418449,-16.70396695,-5.362122054
0.95,10.74490569,-16.11004497,-5.365139278
1,10.20766041,-15.55911367,-5.351453263
1.05,9.721581337,-15.04712001,-5.325538669
1.1,9.279691276,-14.57062299,-5.290931714
1.15,8.876226443,-14.1266873,-5.250460855
1.2,8.506383657,-13.71299871,-5.206615051
1.25,8.166128298,-13.32788505,-5.161756753
1.3,7.852046481,-12.96919085,-5.117144366
1.35,7.561229933,-12.63497819,-5.073748255
1.4,7.291185997,-12.3235318,-5.032345799
1.45,7.039765782,-12.03329899,-4.993533209
1.5,6.805106953,-11.76281404,-4.957707083
1.55,6.585587369,-11.51070327,-4.925115901
1.6,6.379787752,-11.27561084,-4.89582309
1.65,6.186460841,-11.05624837,-4.869787527
1.7,6.004506111,-10.85136602,-4.846859904
1.75,5.832948813,-10.65977884,-4.826830026
1.8,5.670922449,-10.48037118,-4.809448734
1.85,5.517654266,-10.3121076,-4.794453338
1.9,5.372452839,-10.15402677,-4.781573935
1.95,5.234697654,-10.00525487,-4.770557214
2,5.103830206,-9.864993423,-4.761163218
2.05,4.979346542,-9.732521856,-4.753175314
2.1,4.860790666,-9.6071891,-4.746398434
2.15,4.747749017,-9.488409305,-4.740660287
2.2,4.639845642,-9.375655481,-4.735809839
2.25,4.53673796,-9.268453848,-4.731715887
2.3,4.438113219,-9.166378368,-4.728265149
2.35,4.343685272,-9.069045299,-4.725360027
2.4,4.253191846,-8.976108781,-4.722916935
2.45,4.166392007,-8.887256552,-4.720864545
2.5,4.083064162,-8.802206232,-4.71914207
