Distance (Angstrom),Nuclear Repulsion Energy (Hartree),APset1roGSD_free Electronic Energy (Hartree),APset1roGSD_free Total Energy (Hartree)
0.5,20.41532081,-23.78681895,-3.371498137
0.55,18.55938255,-22.57817933,-4.018796773
0.6,17.01276733,-21.4853449,-4.47257757
0.65,15.70409294,-20.49329432,-4.789201377
0.7,14.58237201,-19.58910303,-5.006731022
0.75,13.61021387,-18.76178882,-5.151574946
0.8,12.7595755,-18.00189259,-5.242317086
0.85,12.00901224,-17.30143044,-5.292418196
0.9,11.3418449,-16.65365963,-5.311814727
0.95,10.74490569,-16.05274195,-5.30783626
1,10.20766041,-15.49502827,-5.287367867
1.05,9.721581337,-14.97920507,-5.257623737
1.1,9.279691276,-14.50114139,-5.221450118
1.15,8.876226443,-14.05732939,-5.181102944
1.2,8.506383657,-13.64488075,-5.138497089
1.25,8.166128298,-13.26138591,-5.095257615
1.3,7.852046481,-12.90479929,-5.052752812
1.35,7.561229933,-12.57325019,-5.012020257
1.4,7.291185997,-12.26503566,-4.973849667
1.45,7.039765782,-11.97852902,-4.938763236
1.5,6.805106953,-11.66475725,-4.859650296
1.55,6.585587369,-11.42039774,-4.834810371
1.6,6.379787752,-11.23366295,-4.853875198
1.65,6.186460841,-10.98439874,-4.797937896
1.7,6.004506111,-10.81793813,-4.81343202
1.75,5.832948813,-10.60395919,-4.77101038
1.8,5.670922449,-10.4318491,-4.760926648
1.85,5.517654266,-10.26995828,-4.752304018
1.9,5.372452839,-10.11765653,-4.745203686
1.95,5.234697654,-9.97402906,-4.739331406
2,5.103830206,-9.85050238,-4.746672174
2.05,4.979346542,-9.699192618,-4.719846075
2.1,4.860790666,-9.578815603,-4.718024937
2.15,4.747749017,-9.464301703,-4.716552686
2.2,4.639845642,-9.361598416,-4.721752774
2.25,4.53673796,-9.261933785,-4.725195825
2.3,4.438113219,-9.147214674,-4.709101455
2.35,4.343685272,-9.056713891,-4.713028619
2.4,4.253191846,-8.965719616,-4.71252777
2.45,4.166392007,-8.878512793,-4.712120786
2.5,4.083064162,-8.792577171,-4.70951301
