Distance (Angstrom),Nuclear Repulsion Energy (Hartree),APset1roGSD_sen-v Electronic Energy (Hartree),APset1roGSD_sen-v Total Energy (Hartree)
0.5,20.41532081,-23.78683407,-3.371513259
0.55,18.55938255,-22.57818665,-4.018804094
0.6,17.01276733,-21.48535277,-4.472585438
0.65,15.70409294,-20.49329553,-4.789202585
0.7,14.58237201,-19.58911481,-5.006742804
0.75,13.61021387,-18.7618004,-5.151586526
0.8,12.7595755,-18.00188107,-5.242305562
0.85,12.00901224,-17.30144956,-5.292437322
0.9,11.3418449,-16.65365837,-5.311813469
0.95,10.74490569,-16.05273805,-5.307832355
1,10.20766041,-15.4947601,-5.287099691
1.05,9.721581337,-14.97845144,-5.256870106
1.1,9.279691276,-14.49983901,-5.22014773
1.15,8.876226443,-14.05546324,-5.179236797
1.2,8.506383657,-13.64248762,-5.136103968
1.25,8.166128298,-13.2585547,-5.092426405
1.3,7.852046481,-12.90154248,-5.049495998
1.35,7.561229933,-12.56971483,-5.008484896
1.4,7.291185997,-12.26131665,-4.970130656
1.45,7.039765782,-11.97470001,-4.934934226
1.5,6.805106953,-11.70828827,-4.903181312
1.55,6.585587369,-11.46056707,-4.8749797
1.6,6.379787752,-11.22997787,-4.850190121
1.65,6.186460841,-11.0150532,-4.828592358
1.7,6.004506111,-10.81452493,-4.810018822
1.75,5.832948813,-10.39172385,-4.55877504
1.8,5.670922449,-10.2597994,-4.588876952
1.85,5.517654266,-10.28663309,-4.768978825
1.9,5.372452839,-10.13174339,-4.759290548
1.95,5.234697654,-9.758773052,-4.524075398
2,5.103830206,-9.848011125,-4.744180919
2.05,4.979346542,-9.571153178,-4.591806635
2.1,4.860790666,-9.594381899,-4.733591233
2.15,4.747749017,-9.210483089,-4.462734072
2.2,4.639845642,-9.150818982,-4.51097334
2.25,4.53673796,-9.260192337,-4.723454377
2.3,4.438113219,-9.159218472,-4.721105254
2.35,4.343685272,-9.062858493,-4.719173221
2.4,4.253191846,-8.970768704,-4.717576858
2.45,4.166392007,-8.788120603,-4.621728596
2.5,4.083064162,-8.574162355,-4.491098193
