Distance (Angstrom),Nuclear Repulsion Energy (Hartree),pCCD Electronic Energy (Hartree),pCCD Total Energy (Hartree)
0.5,20.41532081,-23.78552117,-3.370200366
0.55,18.55938255,-22.57668824,-4.017305684
0.6,17.01276733,-21.48363883,-4.470871496
0.65,15.70409294,-20.49131237,-4.787219429
0.7,14.58237201,-19.58690816,-5.004536152
0.75,13.61021387,-18.75926564,-5.149051764
0.8,12.7595755,-17.99914308,-5.239567576
0.85,12.00901224,-17.29835767,-5.289345427
0.9,11.3418449,-16.65029353,-5.308448632
0.95,10.74490569,-16.04902333,-5.304117636
1,10.20766041,-15.48961094,-5.281950531
1.05,9.721581337,-14.96790379,-5.246322458
1.1,9.279691276,-14.48009403,-5.200402753
1.15,8.876226443,-14.0230401,-5.146813658
1.2,8.506383657,-13.59391258,-5.08752892
1.25,8.166128298,-13.19025846,-5.024130159
1.3,7.852046481,-12.80999924,-4.957952756
1.35,7.561229933,-12.45112945,-4.889899519
1.4,7.291185997,-12.11202831,-4.820842315
1.45,7.039765782,-11.79126637,-4.751500584
1.5,6.805106953,-11.48756995,-4.682462993
1.55,6.585587369,-11.19969425,-4.614106885
1.6,6.379787752,-10.92657611,-4.546788358
1.65,6.186460841,-10.6673456,-4.480884762
1.7,6.004506111,-10.42108413,-4.416578016
1.75,5.832948813,-10.18705591,-4.354107092
1.8,5.670922449,-9.964632023,-4.293709574
1.85,5.517654266,-9.753065922,-4.235411655
1.9,5.372452839,-9.551764096,-4.179311257
1.95,5.234697654,-9.360149777,-4.125452124
2,5.103830206,-9.177761327,-4.073931121
2.05,4.979346542,-9.004151692,-4.02480515
2.1,4.860790666,-8.838807425,-3.978016759
2.15,4.747749017,-8.681286728,-3.933537711
2.2,4.639845642,-8.531198969,-3.891353327
2.25,4.53673796,-8.388236781,-3.851498821
2.3,4.438113219,-8.251962884,-3.813849665
2.35,4.343685272,-8.122040646,-3.778355374
2.4,4.253191846,-7.998264959,-3.745073113
2.45,4.166392007,-7.880170064,-3.713778057
2.5,4.083064162,-7.767615031,-3.684550869
