Distance (Angstrom),Nuclear Repulsion Energy (Hartree),AP1roGSDGeneralized_sen-o Electronic Energy (Hartree),AP1roGSDGeneralized_sen-o Total Energy (Hartree)
0.5,20.41532081,-23.80305738,-3.387736572
0.55,18.55938255,-22.59704051,-4.037657955
0.6,17.01276733,-21.5071047,-4.494337366
0.65,15.70409294,-20.51827004,-4.814177092
0.7,14.58237201,-19.61769858,-5.035326569
0.75,13.61021387,-18.79439357,-5.184179698
0.8,12.7595755,-18.03907045,-5.279494949
0.85,12.00901224,-17.34380046,-5.334788226
0.9,11.3418449,-16.70193624,-5.360091339
0.95,10.74490569,-16.10785204,-5.362946347
1,10.20766041,-15.55671713,-5.349056726
1.05,9.721581337,-15.04451867,-5.322937331
1.1,9.279691276,-14.56782863,-5.288137353
1.15,8.876226443,-14.12363458,-5.247408134
1.2,8.506383657,-13.70956091,-5.203177256
1.25,8.166128298,-13.32386471,-5.157736407
1.3,7.852046481,-12.96468435,-5.112637867
1.35,7.561229933,-12.63010207,-5.068872141
1.4,7.291185997,-12.31832523,-5.027139231
1.45,7.039765782,-12.02792222,-4.988156437
1.5,6.805106953,-11.75736476,-4.952257811
1.55,6.585587369,-11.50529021,-4.919702845
1.6,6.379787752,-11.27024923,-4.890461475
1.65,6.186460841,-11.0510149,-4.86455406
1.7,6.004506111,-10.84634108,-4.841834969
1.75,5.832948813,-10.65495579,-4.822006979
1.8,5.670922449,-10.47577001,-4.804847559
1.85,5.517654266,-10.30778431,-4.790130047
1.9,5.372452839,-10.14998442,-4.777531585
1.95,5.234697654,-10.00147526,-4.766777609
2,5.103830206,-9.861497647,-4.757667441
2.05,4.979346542,-9.729255425,-4.749908882
2.1,4.860790666,-9.604128791,-4.743338125
2.15,4.747749017,-9.485621683,-4.737872666
2.2,4.639845642,-9.3730667,-4.733221058
2.25,4.53673796,-9.26607024,-4.72933228
2.3,4.438113219,-9.1641763,-4.726063081
2.35,4.343685272,-9.06701474,-4.723329467
2.4,4.253191846,-8.974275347,-4.721083501
2.45,4.166392007,-8.885561217,-4.71916921
2.5,4.083064162,-8.77713917,-4.694075008
