Distance (Angstrom),Nuclear Repulsion Energy (Hartree),AP1roGSDGeneralized_sen-ov Electronic Energy (Hartree),AP1roGSDGeneralized_sen-ov Total Energy (Hartree)
0.5,20.41532081,-23.80274644,-3.387425631
0.55,18.55938255,-22.59685291,-4.037470356
0.6,17.01276733,-21.50702545,-4.494258117
0.65,15.70409294,-20.51825467,-4.814161729
0.7,14.58237201,-19.61774979,-5.035377777
0.75,13.61021387,-18.79449947,-5.1842856
0.8,12.7595755,-18.03920164,-5.279626135
0.85,12.00901224,-17.34397027,-5.334958035
0.9,11.3418449,-16.70211314,-5.360268235
0.95,10.74490569,-16.10800596,-5.363100268
1,10.20766041,-15.55687947,-5.349219064
1.05,9.721581337,-15.04463879,-5.32305745
1.1,9.279691276,-14.56786243,-5.288171155
1.15,8.876226443,-14.12361511,-5.247388671
1.2,8.506383657,-13.70935293,-5.202969274
1.25,8.166128298,-13.32337537,-5.15724707
1.3,7.852046481,-12.96394142,-5.111894937
1.35,7.561229933,-12.62913725,-5.067907319
1.4,7.291185997,-12.31724194,-5.026055939
1.45,7.039765782,-12.02674696,-4.986981175
1.5,6.805106953,-11.7561161,-4.951009151
1.55,6.585587369,-11.50400167,-4.918414301
1.6,6.379787752,-11.26893541,-4.889147662
1.65,6.186460841,-11.04971776,-4.863256922
1.7,6.004506111,-10.84515198,-4.840645864
1.75,5.832948813,-10.6537279,-4.820779085
1.8,5.670922449,-10.47468666,-4.803764212
1.85,5.517654266,-10.3067162,-4.789061934
1.9,5.372452839,-10.148969,-4.776516163
1.95,5.234697654,-10.00054203,-4.765844377
2,5.103830206,-9.860576164,-4.756745959
2.05,4.979346542,-9.728389417,-4.749042875
2.1,4.860790666,-9.603343014,-4.742552348
2.15,4.747749017,-9.484878844,-4.737129827
2.2,4.639845642,-9.372370335,-4.732524693
2.25,4.53673796,-9.265422702,-4.728684741
2.3,4.438113219,-9.109948017,-4.671834798
2.35,4.343685272,-9.066509418,-4.722824146
2.4,4.253191846,-8.973744404,-4.720552558
2.45,4.166392007,-8.885112319,-4.718720312
2.5,4.083064162,-8.800228895,-4.717164733
