Distance (Angstrom),Nuclear Repulsion Energy (Hartree),AP1roGSDGeneralized_sen-v Electronic Energy (Hartree),AP1roGSDGeneralized_sen-v Total Energy (Hartree)
0.5,20.41532081,-23.80274816,-3.387427346
0.55,18.55938255,-22.59685451,-4.037471958
0.6,17.01276733,-21.50702116,-4.494253825
0.65,15.70409294,-20.51826353,-4.814170585
0.7,14.58237201,-19.61774024,-5.035368228
0.75,13.61021387,-18.79449087,-5.184276995
0.8,12.7595755,-18.03920157,-5.279626065
0.85,12.00901224,-17.34396389,-5.334951654
0.9,11.3418449,-16.70210843,-5.360263533
0.95,10.74490569,-16.1080158,-5.363110111
1,10.20766041,-15.55686078,-5.349200372
1.05,9.721581337,-15.04464443,-5.323063091
1.1,9.279691276,-14.56785165,-5.288160375
1.15,8.876226443,-14.12360501,-5.247378564
1.2,8.506383657,-13.7093697,-5.202986043
1.25,8.166128298,-13.32340045,-5.157272153
1.3,7.852046481,-12.9639653,-5.111918819
1.35,7.561229933,-12.62912387,-5.067893941
1.4,7.291185997,-12.31727055,-5.026084556
1.45,7.039765782,-12.02669481,-4.986929032
1.5,6.805106953,-11.75607133,-4.950964375
1.55,6.585587369,-11.50392838,-4.918341007
1.6,6.379787752,-11.2689371,-4.889149351
1.65,6.186460841,-11.04969319,-4.863232346
1.7,6.004506111,-10.84506184,-4.840555727
1.75,5.832948813,-10.65373772,-4.820788905
1.8,5.670922449,-10.47471017,-4.803787721
1.85,5.517654266,-10.30673566,-4.789081395
1.9,5.372452839,-10.14896278,-4.776509937
1.95,5.234697654,-10.00050201,-4.765804354
2,5.103830206,-9.860578091,-4.756747885
2.05,4.979346542,-9.728360299,-4.749013757
2.1,4.860790666,-9.60339911,-4.742608444
2.15,4.747749017,-9.484865643,-4.737116625
2.2,4.639845642,-9.372372951,-4.732527309
2.25,4.53673796,-9.265459454,-4.728721494
2.3,4.438113219,-9.16359263,-4.725479411
2.35,4.343685272,-9.022554411,-4.678869139
2.4,4.253191846,-8.973774962,-4.720583116
2.45,4.166392007,-8.858996279,-4.692604272
2.5,4.083064162,-8.772341196,-4.689277035
