Distance (Angstrom),Nuclear Repulsion Energy (Hartree),AP1roGSDSpin_free Electronic Energy (Hartree),AP1roGSDSpin_free Total Energy (Hartree)
0.5,20.41532081,-23.78592571,-3.370604897
0.55,18.55938255,-22.57714046,-4.017757907
0.6,17.01276733,-21.48417609,-4.471408758
0.65,15.70409294,-20.49196442,-4.787871477
0.7,14.58237201,-19.58762637,-5.005254361
0.75,13.61021387,-18.76010507,-5.149891198
0.8,12.7595755,-18.00001679,-5.240441282
0.85,12.00901224,-17.29935813,-5.290345888
0.9,11.3418449,-16.6513459,-5.309501
0.95,10.74490569,-16.05017338,-5.305267686
1,10.20766041,-15.49202914,-5.284368734
1.05,9.721581337,-14.97572286,-5.254141524
1.1,9.279691276,-14.49719809,-5.21750681
1.15,8.876226443,-14.0529409,-5.176714461
1.2,8.506383657,-13.64011977,-5.133736112
1.25,8.166128298,-13.25633002,-5.090201724
1.3,7.852046481,-12.89955867,-5.047512193
1.35,7.561229933,-12.56796574,-5.00673581
1.4,7.291185997,-12.25975773,-4.968571736
1.45,7.039765782,-11.97339079,-4.933625006
1.5,6.805106953,-11.70717609,-4.902069134
1.55,6.585587369,-11.45957354,-4.873986171
1.6,6.379787752,-11.22919041,-4.849402659
1.65,6.186460841,-11.01439441,-4.827933569
1.7,6.004506111,-10.81400578,-4.809499669
1.75,5.832948813,-10.62655493,-4.793606119
1.8,5.670922449,-10.25771754,-4.586795091
1.85,5.517654266,-10.08031506,-4.562660792
1.9,5.372452839,-10.13146334,-4.759010501
1.95,5.234697654,-9.985580859,-4.750883205
2,5.103830206,-9.847879835,-4.744049629
2.05,4.979346542,-9.717644543,-4.738298001
2.1,4.860790666,-9.594269075,-4.733478408
2.15,4.747749017,-9.477245444,-4.729496426
2.2,4.639845642,-9.365993084,-4.726147442
2.25,4.53673796,-9.036151692,-4.499413732
2.3,4.438113219,-9.159170123,-4.721056904
2.35,4.343685272,-8.840080015,-4.496394743
2.4,4.253191846,-8.970724848,-4.717533002
2.45,4.166392007,-8.789248639,-4.622856632
2.5,4.083064162,-8.453510937,-4.370446776
