Distance (Angstrom),Nuclear Repulsion Energy (Hartree),AP1roGSDSpin_sen-ov Electronic Energy (Hartree),AP1roGSDSpin_sen-ov Total Energy (Hartree)
0.5,20.41532081,-23.7859346,-3.370613795
0.55,18.55938255,-22.57716,-4.017777446
0.6,17.01276733,-21.48417107,-4.471403737
0.65,15.70409294,-20.49196951,-4.787876567
0.7,14.58237201,-19.58761396,-5.005241951
0.75,13.61021387,-18.76009943,-5.14988556
0.8,12.7595755,-18.00001137,-5.240435862
0.85,12.00901224,-17.29935769,-5.290345451
0.9,11.3418449,-16.65133344,-5.309488543
0.95,10.74490569,-16.05016883,-5.305263134
1,10.20766041,-15.49187331,-5.284212908
1.05,9.721581337,-14.97531938,-5.253738047
1.1,9.279691276,-14.49652064,-5.216829361
1.15,8.876226443,-14.05201949,-5.175793044
1.2,8.506383657,-13.63896092,-5.13257726
1.25,8.166128298,-13.2549887,-5.088860404
1.3,7.852046481,-12.89805361,-5.046007125
1.35,7.561229933,-12.56635153,-5.005121597
1.4,7.291185997,-12.25813311,-4.966947113
1.45,7.039765782,-11.97167088,-4.9319051
1.5,6.805106953,-11.7055713,-4.900464348
1.55,6.585587369,-11.45803375,-4.872446386
1.6,6.379787752,-11.22761136,-4.847823607
1.65,6.186460841,-11.01291211,-4.826451273
1.7,6.004506111,-10.81254745,-4.808041337
1.75,5.832948813,-10.62522754,-4.792278728
1.8,5.670922449,-10.44981622,-4.778893767
1.85,5.517654266,-10.28515469,-4.767500423
1.9,5.372452839,-10.13042205,-4.757969207
1.95,5.234697654,-9.984512227,-4.749814573
2,5.103830206,-9.846887489,-4.743057284
2.05,4.979346542,-9.716738322,-4.73739178
2.1,4.860790666,-9.593480305,-4.732689638
2.15,4.747749017,-9.476482473,-4.728733456
2.2,4.639845642,-9.365283118,-4.725437476
2.25,4.53673796,-9.259466835,-4.722728874
2.3,4.438113219,-9.158564635,-4.720451416
2.35,4.343685272,-9.062272379,-4.718587106
2.4,4.253191846,-8.970192163,-4.717000316
2.45,4.166392007,-8.753144831,-4.586752824
2.5,4.083064162,-8.676887661,-4.593823499
