Distance (Angstrom),Nuclear Repulsion Energy (Hartree),AP1roGSDSpin_sen-v Electronic Energy (Hartree),AP1roGSDSpin_sen-v Total Energy (Hartree)
0.5,20.41532081,-23.7859401,-3.370619293
0.55,18.55938255,-22.57716533,-4.017782773
0.6,17.01276733,-21.48418101,-4.471413676
0.65,15.70409294,-20.49197958,-4.787886639
0.7,14.58237201,-19.58762816,-5.005256146
0.75,13.61021387,-18.76010512,-5.149891245
0.8,12.7595755,-18.00001871,-5.240443206
0.85,12.00901224,-17.2993542,-5.290341959
0.9,11.3418449,-16.65132365,-5.309478744
0.95,10.74490569,-16.05016758,-5.305261884
1,10.20766041,-15.49188929,-5.284228886
1.05,9.721581337,-14.97530616,-5.253724823
1.1,9.279691276,-14.49651296,-5.216821682
1.15,8.876226443,-14.05204782,-5.175821378
1.2,8.506383657,-13.6389939,-5.132610241
1.25,8.166128298,-13.2549382,-5.088809906
1.3,7.852046481,-12.8980688,-5.046022315
1.35,7.561229933,-12.56637669,-5.00514676
1.4,7.291185997,-12.25808564,-4.966899638
1.45,7.039765782,-11.97163224,-4.931866461
1.5,6.805106953,-11.7055605,-4.900453543
1.55,6.585587369,-11.45807223,-4.872484866
1.6,6.379787752,-11.22766647,-4.847878714
1.65,6.186460841,-11.01299975,-4.826538907
1.7,6.004506111,-10.81253497,-4.808028861
1.75,5.832948813,-10.6252586,-4.792309782
1.8,5.670922449,-10.44984438,-4.778921929
1.85,5.517654266,-10.28516999,-4.767515726
1.9,5.372452839,-10.13038381,-4.757930971
1.95,5.234697654,-9.984559411,-4.749861757
2,5.103830206,-9.846898562,-4.743068356
2.05,4.979346542,-9.716757737,-4.737411195
2.1,4.860790666,-9.593431389,-4.732640722
2.15,4.747749017,-9.166846971,-4.419097953
2.2,4.639845642,-9.36526034,-4.725414698
2.25,4.53673796,-8.82008095,-4.28334299
2.3,4.438113219,-9.003778201,-4.565664982
2.35,4.343685272,-8.916764711,-4.573079439
2.4,4.253191846,-8.970213085,-4.717021238
2.45,4.166392007,-8.882100058,-4.715708051
2.5,4.083064162,-8.34325317,-4.260189008
