Distance (Angstrom),Nuclear Repulsion Energy (Hartree),APG1roSD_sen-o Electronic Energy (Hartree),APG1roSD_sen-o Total Energy (Hartree)
0.5,20.41532081,-23.80397284,-3.388652032
0.55,18.55938255,-22.59807573,-4.03869318
0.6,17.01276733,-21.50826343,-4.495496099
0.65,15.70409294,-20.51955512,-4.815462173
0.7,14.58237201,-19.61911011,-5.036738097
0.75,13.61021387,-18.79595577,-5.185741899
0.8,12.7595755,-18.04076666,-5.281191152
0.85,12.00901224,-17.3456582,-5.33664596
0.9,11.3418449,-16.70396951,-5.362124605
0.95,10.74490569,-16.11004238,-5.365136691
1,10.20766041,-15.55911785,-5.351457444
1.05,9.721581337,-15.04711606,-5.325534728
1.1,9.279691276,-14.57062017,-5.290928898
1.15,8.876226443,-14.12668956,-5.250463115
1.2,8.506383657,-13.71299132,-5.206607663
1.25,8.166128298,-13.3278812,-5.161752897
1.3,7.852046481,-12.96919226,-5.117145779
1.35,7.561229933,-12.63497989,-5.073749961
1.4,7.291185997,-12.3235337,-5.032347705
1.45,7.039765782,-12.03329359,-4.993527805
1.5,6.805106953,-11.76281698,-4.95771003
1.55,6.585587369,-11.51070126,-4.925113893
1.6,6.379787752,-11.27561306,-4.895825313
1.65,6.186460841,-11.05624734,-4.8697865
1.7,6.004506111,-10.85136451,-4.8468584
1.75,5.832948813,-10.65977814,-4.826829323
1.8,5.670922449,-10.48037128,-4.809448833
1.85,5.517654266,-10.31210739,-4.794453121
1.9,5.372452839,-10.15402686,-4.781574018
1.95,5.234697654,-10.00525456,-4.770556911
2,5.103830206,-9.864993492,-4.761163286
2.05,4.979346542,-9.732522013,-4.753175471
2.1,4.860790666,-9.607189131,-4.746398465
2.15,4.747749017,-9.488409221,-4.740660204
2.2,4.639845642,-9.375655394,-4.735809752
2.25,4.53673796,-9.268453893,-4.731715933
2.3,4.438113219,-9.166378396,-4.728265177
2.35,4.343685272,-9.06904525,-4.725359978
2.4,4.253191846,-8.97610877,-4.722916924
2.45,4.166392007,-8.887256552,-4.720864545
2.5,4.083064162,-8.802206235,-4.719142074
