Distance (Angstrom),Nuclear Repulsion Energy (Hartree),APG1roSD_sen-ov Electronic Energy (Hartree),APG1roSD_sen-ov Total Energy (Hartree)
0.5,20.41532081,-23.80360755,-3.38828674
0.55,18.55938255,-22.59782504,-4.038442489
0.6,17.01276733,-21.50810259,-4.495335257
0.65,15.70409294,-20.51947302,-4.815380071
0.7,14.58237201,-19.61908108,-5.036709071
0.75,13.61021387,-18.79597242,-5.185758543
0.8,12.7595755,-18.04079763,-5.281222128
0.85,12.00901224,-17.34569334,-5.336681103
0.9,11.3418449,-16.70397889,-5.362133992
0.95,10.74490569,-16.10999366,-5.365087962
1,10.20766041,-15.55897276,-5.35131236
1.05,9.721581337,-15.04683484,-5.3252535
1.1,9.279691276,-14.57014382,-5.290452549
1.15,8.876226443,-14.12594804,-5.249721593
1.2,8.506383657,-13.71178731,-5.205403655
1.25,8.166128298,-13.3259738,-5.159845502
1.3,7.852046481,-12.96666059,-5.114614104
1.35,7.561229933,-12.63182054,-5.070590605
1.4,7.291185997,-12.31997048,-5.028784481
1.45,7.039765782,-12.02932583,-4.989560044
1.5,6.805106953,-11.75861929,-4.953512333
1.55,6.585587369,-11.50630681,-4.920719441
1.6,6.379787752,-11.27113925,-4.891351501
1.65,6.186460841,-11.05176738,-4.865306541
1.7,6.004506111,-10.84696178,-4.842455665
1.75,5.832948813,-10.65550276,-4.822553951
1.8,5.670922449,-10.47625516,-4.805332711
1.85,5.517654266,-10.30818048,-4.790526218
1.9,5.372452839,-10.15029011,-4.77783727
1.95,5.234697654,-10.00170147,-4.767003818
2,5.103830206,-9.86167729,-4.757847084
2.05,4.979346542,-9.729420484,-4.750073942
2.1,4.860790666,-9.513653026,-4.65286236
2.15,4.747749017,-9.407120853,-4.659371836
2.2,4.639845642,-9.373166948,-4.733321306
2.25,4.53673796,-9.266157696,-4.729419736
2.3,4.438113219,-9.119108902,-4.680995684
2.35,4.343685272,-9.067073495,-4.723388223
2.4,4.253191846,-8.942579716,-4.68938787
2.45,4.166392007,-8.885596795,-4.719204788
2.5,4.083064162,-8.800696812,-4.717632651
