Distance (Angstrom),Nuclear Repulsion Energy (Hartree),APG1roSD_sen-v Electronic Energy (Hartree),APG1roSD_sen-v Total Energy (Hartree)
0.5,20.41532081,-23.80361635,-3.388295537
0.55,18.55938255,-22.59783176,-4.038449203
0.6,17.01276733,-21.50811883,-4.495351492
0.65,15.70409294,-20.51181943,-4.807726489
0.7,14.58237201,-19.61908604,-5.036714029
0.75,13.61021387,-18.79597015,-5.185756272
0.8,12.7595755,-18.04079778,-5.281222275
0.85,12.00901224,-17.34568802,-5.336675784
0.9,11.3418449,-16.70397967,-5.362134765
0.95,10.74490569,-16.10999419,-5.365088496
1,10.20766041,-15.55897194,-5.351311536
1.05,9.721581337,-15.04683872,-5.325257383
1.1,9.279691276,-14.57015635,-5.290465074
1.15,8.876226443,-14.12594287,-5.249716422
1.2,8.506383657,-13.71178458,-5.205400928
1.25,8.166128298,-13.32593843,-5.159810136
1.3,7.852046481,-12.96662938,-5.114582897
1.35,7.561229933,-12.63182517,-5.070595234
1.4,7.291185997,-12.31991138,-5.028725387
1.45,7.039765782,-12.02934569,-4.989579908
1.5,6.805106953,-11.75856129,-4.953454335
1.55,6.585587369,-11.50633761,-4.920750243
1.6,6.379787752,-11.2711198,-4.891332045
1.65,6.186460841,-11.05176574,-4.8653049
1.7,6.004506111,-10.84694755,-4.842441439
1.75,5.832948813,-10.65550129,-4.822552476
1.8,5.670922449,-10.47626836,-4.805345915
1.85,5.517654266,-10.30814306,-4.790488798
1.9,5.372452839,-10.15029406,-4.777841217
1.95,5.234697654,-10.00171574,-4.767018085
2,5.103830206,-9.861673848,-4.757843643
2.05,4.979346542,-9.729426134,-4.750079592
2.1,4.860790666,-9.604293498,-4.743502832
2.15,4.747749017,-9.485734287,-4.73798527
2.2,4.639845642,-9.373189755,-4.733344113
2.25,4.53673796,-9.266170921,-4.72943296
2.3,4.438113219,-9.164249512,-4.726136293
2.35,4.343685272,-9.067115272,-4.72343
2.4,4.253191846,-8.974312014,-4.721120167
2.45,4.166392007,-8.859203892,-4.692811886
2.5,4.083064162,-8.777462978,-4.694398816
