Distance (Angstrom),Nuclear Repulsion Energy (Hartree),APset1roGD Electronic Energy (Hartree),APset1roGD Total Energy (Hartree)
0.5,20.41532081,-23.78650034,-3.371179536
0.55,18.55938255,-22.57782162,-4.018439065
0.6,17.01276733,-21.48477631,-4.472008977
0.65,15.70409294,-20.49271167,-4.788618729
0.7,14.58237201,-19.5884512,-5.006079188
0.75,13.61021387,-18.76112221,-5.150908332
0.8,12.7595755,-18.00111723,-5.241541728
0.85,12.00901224,-17.30065448,-5.291642239
0.9,11.3418449,-16.65280424,-5.310959337
0.95,10.74490569,-16.05181384,-5.306908151
1,10.20766041,-15.492842,-5.285181596
1.05,9.721581337,-14.97146366,-5.249882328
1.1,9.279691276,-14.484005,-5.204313727
1.15,8.876226443,-14.02740573,-5.151179284
1.2,8.506383657,-13.59874065,-5.092356998
1.25,8.166128298,-13.19552335,-5.029395047
1.3,7.852046481,-12.81583496,-4.963788477
1.35,7.561229933,-12.45750558,-4.896275646
1.4,7.291185997,-12.11909647,-4.82791047
1.45,7.039765782,-11.79895644,-4.759190659
1.5,6.805106953,-11.49594005,-4.690833098
1.55,6.585587369,-11.20885008,-4.623262712
1.6,6.379787752,-10.93648385,-4.556696096
1.65,6.186460841,-10.67810882,-4.491647976
1.7,6.004506111,-10.43277223,-4.428266114
1.75,5.832948813,-10.19965286,-4.366704049
1.8,5.670922449,-9.978166404,-4.307243956
1.85,5.517654266,-9.767508207,-4.249853941
1.9,5.372452839,-9.567119537,-4.194666698
1.95,5.234697654,-9.376518945,-4.141821292
2,5.103830206,-9.195197595,-4.091367389
2.05,4.979346542,-9.022559096,-4.043212553
2.1,4.860790666,-8.85814262,-3.997351954
2.15,4.747749017,-8.701559551,-3.953810534
2.2,4.639845642,-8.552386175,-3.912540533
2.25,4.53673796,-8.410289721,-3.873551761
2.3,4.438113219,-8.27480364,-3.836690421
2.35,4.343685272,-8.145650729,-3.801965457
2.4,4.253191846,-8.022431392,-3.769239546
2.45,4.166392007,-7.905023419,-3.738631412
2.5,4.083064162,-7.792959543,-3.709895381
