Distance (Angstrom),Nuclear Repulsion Energy (Hartree),APset1roGSD_sen-ov Electronic Energy (Hartree),APset1roGSD_sen-ov Total Energy (Hartree)
0.5,20.41532081,-23.78682023,-3.371499426
0.55,18.55938255,-22.57817485,-4.018792295
0.6,17.01276733,-21.48534566,-4.472578325
0.65,15.70409294,-20.49329747,-4.789204521
0.7,14.58237201,-19.58912741,-5.006755397
0.75,13.61021387,-18.76178234,-5.151568464
0.8,12.7595755,-18.00189448,-5.242318976
0.85,12.00901224,-17.30142854,-5.292416301
0.9,11.3418449,-16.6536522,-5.311807303
0.95,10.74490569,-16.05273523,-5.307829536
1,10.20766041,-15.49475757,-5.287097163
1.05,9.721581337,-14.97845709,-5.256875749
1.1,9.279691276,-14.49986564,-5.220174362
1.15,8.876226443,-14.05550081,-5.179274365
1.2,8.506383657,-13.64252137,-5.136137713
1.25,8.166128298,-13.25851417,-5.092385869
1.3,7.852046481,-12.9015342,-5.049487721
1.35,7.561229933,-12.56971932,-5.008489388
1.4,7.291185997,-12.26128654,-4.970100542
1.45,7.039765782,-11.9746837,-4.934917916
1.5,6.805106953,-11.70833386,-4.903226903
1.55,6.585587369,-11.46055515,-4.874967778
1.6,6.379787752,-11.22999689,-4.850209135
1.65,6.186460841,-11.01505922,-4.828598381
1.7,6.004506111,-10.81451695,-4.810010837
1.75,5.832948813,-10.44606582,-4.61311701
1.8,5.670922449,-10.25976935,-4.5888469
1.85,5.517654266,-10.28664321,-4.768988944
1.9,5.372452839,-9.916226212,-4.543773373
1.95,5.234697654,-9.758734904,-4.52403725
2,5.103830206,-9.848026434,-4.744196228
2.05,4.979346542,-9.71776946,-4.738422918
2.1,4.860790666,-9.59437997,-4.733589304
2.15,4.747749017,-9.210517981,-4.462768964
2.2,4.639845642,-9.366056802,-4.72621116
2.25,4.53673796,-9.260170749,-4.723432789
2.3,4.438113219,-9.159204562,-4.721091343
2.35,4.343685272,-9.062838583,-4.719153311
2.4,4.253191846,-8.970747847,-4.717556001
2.45,4.166392007,-8.573354399,-4.406962392
2.5,4.083064162,-8.423488482,-4.340424321
