Distance (Angstrom),Nuclear Repulsion Energy (Hartree),AP1roGSDGeneralized_sen-v Electronic Energy (Hartree),AP1roGSDGeneralized_sen-v Total Energy (Hartree)
0.5,38.15317267,-36.16413122,1.989041445
0.55,34.68470241,-34.2033221,0.481380309
0.6,31.7943106,-32.45942882,-0.665118216
0.65,29.34859436,-30.89832053,-1.549726163
0.7,27.25226622,-29.4949381,-2.242671876
0.75,25.43544846,-28.22065937,-2.785210909
0.8,23.84573289,-27.04832612,-3.202593229
0.85,22.44304275,-25.99157272,-3.548529975
0.9,21.19620703,-25.00206197,-3.805854938
0.95,20.08061723,-24.09352368,-4.012906456
1,19.07658634,-23.25067524,-4.174088899
1.05,18.16817746,-22.47393759,-4.30576013
1.1,17.3423512,-21.74159952,-4.399248313
1.15,16.58833595,-21.04851139,-4.460175446
1.2,15.89715531,-20.41913863,-4.521983324
1.25,15.26126906,-19.81730714,-4.556038083
1.3,14.67429718,-19.24335844,-4.56906126
1.35,14.1308047,-18.71733968,-4.58653498
1.4,13.6261331,-18.2079749,-4.5818418
1.45,13.15626644,-17.70658196,-4.550315513
1.5,12.71772423,-17.30963379,-4.591909561
1.55,12.30747505,-16.89327679,-4.585801737
1.6,11.92286646,-16.50396917,-4.581102706
1.65,11.56156748,-16.02931068,-4.4677432
1.7,11.22152138,-15.78895621,-4.567434832
1.75,10.90090648,-15.43020387,-4.52929739
1.8,10.59810352,-15.18328914,-4.585185623
1.85,10.31166829,-14.85292569,-4.541257399
1.9,10.0403086,-14.5905269,-4.550218305
1.95,9.782864794,-14.37139053,-4.588525733
2,9.538293172,-14.08228119,-4.543988015
