Distance (Angstrom),Nuclear Repulsion Energy (Hartree),AP1roGSDSpin_free Electronic Energy (Hartree),AP1roGSDSpin_free Total Energy (Hartree)
0.5,38.15317267,-36.15317451,1.999998154
0.55,34.68470241,-34.19205397,0.492648436
0.6,31.7943106,-32.44704512,-0.652734517
0.65,29.34859436,-30.88337206,-1.534777699
0.7,27.25226622,-29.47618394,-2.223917718
0.75,25.43544846,-28.20057703,-2.765128572
0.8,23.84573289,-27.0344219,-3.188689005
0.85,22.44304275,-25.96764994,-3.524607192
0.9,21.19620703,-24.98091744,-3.784710404
0.95,20.08061723,-24.07212511,-3.991507884
1,19.07658634,-23.22820664,-4.151620297
1.05,18.16817746,-22.44355253,-4.275375073
1.1,17.3423512,-21.71082634,-4.368475137
1.15,16.58833595,-21.02873051,-4.440394563
1.2,15.89715531,-20.38767888,-4.490523575
1.25,15.26126906,-19.78584642,-4.524577363
1.3,14.67429718,-19.21872406,-4.544426885
1.35,14.1308047,-18.68564482,-4.554840114
1.4,13.6261331,-18.18038214,-4.554249042
1.45,13.15626644,-17.70296594,-4.546699497
1.5,12.71772423,-17.25262679,-4.534902559
1.55,12.30747505,-16.8262384,-4.518763352
1.6,11.92286646,-16.42870711,-4.505840648
1.65,11.56156748,-16.03863162,-4.477064141
1.7,11.22152138,-15.68481438,-4.463293001
1.75,10.90090648,-15.36568147,-4.464774994
1.8,10.59810352,-15.02840495,-4.430301433
1.85,10.31166829,-14.72077753,-4.409109247
1.9,10.0403086,-14.43369616,-4.393387564
1.95,9.782864794,-14.1886135,-4.405748708
2,9.538293172,-13.88988757,-4.351594401
