Distance (Angstrom),Nuclear Repulsion Energy (Hartree),AP1roGSDSpin_sen-ov Electronic Energy (Hartree),AP1roGSDSpin_sen-ov Total Energy (Hartree)
0.5,38.15317267,-36.15317418,1.999998484
0.55,34.68470241,-34.19206284,0.492639565
0.6,31.7943106,-32.44706581,-0.652755212
0.65,29.34859436,-30.88335767,-1.534763301
0.7,27.25226622,-29.47615323,-2.223887006
0.75,25.43544846,-28.20055048,-2.765102017
0.8,23.84573289,-27.03444525,-3.188712353
0.85,22.44304275,-25.96771287,-3.524670127
0.9,21.19620703,-24.98093935,-3.784732314
0.95,20.08061723,-24.07217948,-3.991562255
1,19.07658634,-23.22824609,-4.151659744
1.05,18.16817746,-22.44335853,-4.275181078
1.1,17.3423512,-21.71021127,-4.367860071
1.15,16.58833595,-21.02335342,-4.43501747
1.2,15.89715531,-20.38636462,-4.489209308
1.25,15.26126906,-19.78388532,-4.52261626
1.3,14.67429718,-19.21213751,-4.537840335
1.35,14.1308047,-18.68248161,-4.55167691
1.4,13.6261331,-18.17488405,-4.548750956
1.45,13.15626644,-17.68301025,-4.52674381
1.5,12.71772423,-17.25012474,-4.532400514
1.55,12.30747505,-16.8225578,-4.515082751
1.6,11.92286646,-16.41716543,-4.494298971
1.65,11.56156748,-16.00748575,-4.445918272
1.7,11.22152138,-15.6670788,-4.445557419
1.75,10.90090648,-15.38425106,-4.483344576
1.8,10.59810352,-14.98939701,-4.391293495
1.85,10.31166829,-14.80276812,-4.491099833
1.9,10.0403086,-14.55383329,-4.513524696
1.95,9.782864794,-14.09834766,-4.315482868
2,9.538293172,-13.95334943,-4.415056256
