Distance (Angstrom),Nuclear Repulsion Energy (Hartree),APG1roSD_free Electronic Energy (Hartree),APG1roSD_free Total Energy (Hartree)
0.5,38.15317267,-36.16543127,1.987741394
0.55,34.68470241,-34.2038364,0.480866003
0.6,31.7943106,-32.46095713,-0.666646528
0.65,29.34859436,-30.89993464,-1.551340272
0.7,27.25226622,-29.4931559,-2.240889684
0.75,25.43544846,-28.21778067,-2.782332211
0.8,23.84573289,-27.05379278,-3.208059882
0.85,22.44304275,-25.98764452,-3.544601771
0.9,21.19620703,-25.00460239,-3.808395353
0.95,20.08061723,-24.09692149,-4.016304265
1,19.07658634,-23.25575888,-4.179172541
1.05,18.16817746,-22.47499786,-4.3068204
1.1,17.3423512,-21.7487639,-4.4064127
1.15,16.58833595,-21.06901981,-4.480683862
1.2,15.89715531,-20.43166903,-4.534513721
1.25,15.26126906,-19.83441896,-4.5731499
1.3,14.67429718,-19.27846867,-4.604171487
1.35,14.1308047,-18.74857863,-4.617773931
1.4,13.6261331,-18.25456653,-4.628433437
1.45,13.15626644,-17.79134377,-4.635077321
1.5,12.71772423,-17.36230181,-4.644577583
1.55,12.30747505,-16.95271893,-4.645243879
1.6,11.92286646,-16.57218532,-4.649318854
1.65,11.56156748,-16.2163498,-4.654782327
1.7,11.22152138,-15.88228252,-4.660761147
1.75,10.90090648,-15.57322474,-4.672318257
1.8,10.59810352,-15.26927762,-4.671174099
1.85,10.31166829,-14.98858964,-4.676921352
1.9,10.0403086,-14.72640072,-4.686092127
1.95,9.782864794,-14.47379716,-4.690932366
2,9.538293172,-14.22453817,-4.686244996
