Distance (Angstrom),Nuclear Repulsion Energy (Hartree),APG1roSD_sen-ov Electronic Energy (Hartree),APG1roSD_sen-ov Total Energy (Hartree)
0.5,38.15317267,-36.16706473,1.986107941
0.55,34.68470241,-34.2038077,0.480894704
0.6,31.7943106,-32.46171363,-0.667403027
0.65,29.34859436,-30.90232205,-1.553727686
0.7,27.25226622,-29.49788204,-2.245615817
0.75,25.43544846,-28.22240971,-2.786961249
0.8,23.84573289,-27.05509552,-3.209362625
0.85,22.44304275,-25.99286509,-3.549822348
0.9,21.19620703,-25.00490254,-3.808695509
0.95,20.08061723,-24.09609153,-4.015474301
1,19.07658634,-23.2533883,-4.176801958
1.05,18.16817746,-22.47654812,-4.308370663
1.1,17.3423512,-21.74546949,-4.403118289
1.15,16.58833595,-21.05424209,-4.465906139
1.2,15.89715531,-20.42544232,-4.528287006
1.25,15.26126906,-19.8264648,-4.565195739
1.3,14.67429718,-19.25763925,-4.583342072
1.35,14.1308047,-18.73308914,-4.602284436
1.4,13.6261331,-18.22621179,-4.600078697
1.45,13.15626644,-17.7417413,-4.585474861
1.5,12.71772423,-17.31744035,-4.599716123
1.55,12.30747505,-16.89705957,-4.589584521
1.6,11.92286646,-16.56330844,-4.64044198
1.65,11.56156748,-16.20939528,-4.647827804
1.7,11.22152138,-15.87162383,-4.650102455
1.75,10.90090648,-15.53576835,-4.63486187
1.8,10.59810352,-15.25930148,-4.661197959
1.85,10.31166829,-14.9455195,-4.63385121
1.9,10.0403086,-14.61530231,-4.574993713
1.95,9.782864794,-14.46234537,-4.679480571
2,9.538293172,-14.17857443,-4.640281257
