Distance (Angstrom),Nuclear Repulsion Energy (Hartree),APset1roGSD_sen-ov Electronic Energy (Hartree),APset1roGSD_sen-ov Total Energy (Hartree)
0.5,38.15317267,-36.15644409,1.996728582
0.55,34.68470241,-34.19381213,0.490890279
0.6,31.7943106,-32.44971168,-0.655401074
0.65,29.34859436,-30.88739895,-1.538804585
0.7,27.25226622,-29.47925823,-2.226992009
0.75,25.43544846,-28.20212656,-2.766678105
0.8,23.84573289,-27.03674595,-3.191013057
0.85,22.44304275,-25.968678,-3.525635253
0.9,21.19620703,-24.98413232,-3.787925287
0.95,20.08061723,-24.07427716,-3.993659935
1,19.07658634,-23.23022977,-4.153643427
1.05,18.16817746,-22.44664703,-4.278469576
1.1,17.3423512,-21.7163837,-4.374032498
1.15,16.58833595,-21.03027605,-4.441940108
1.2,15.89715531,-20.39489635,-4.497741043
1.25,15.26126906,-19.79467628,-4.533407224
1.3,14.67429718,-19.22932543,-4.555028251
1.35,14.1308047,-18.69766589,-4.566861187
1.4,13.6261331,-18.1932226,-4.567089506
1.45,13.15626644,-17.71669529,-4.560428842
1.5,12.71772423,-17.27529547,-4.557571244
1.55,12.30747505,-16.85583344,-4.548358385
1.6,11.92286646,-16.45890203,-4.53603557
1.65,11.56156748,-16.05331978,-4.491752306
1.7,11.22152138,-15.77835489,-4.556833508
1.75,10.90090648,-15.50079306,-4.599886581
1.8,10.59810352,-15.05257593,-4.454472409
1.85,10.31166829,-14.72760349,-4.415935206
1.9,10.0403086,-14.44001848,-4.399709882
1.95,9.782864794,-14.2033382,-4.420473406
2,9.538293172,-13.99029313,-4.451999955
