Distance (Angstrom),Nuclear Repulsion Energy (Hartree),APset1roGSD_sen-v Electronic Energy (Hartree),APset1roGSD_sen-v Total Energy (Hartree)
0.5,38.15317267,-36.15644743,1.996725237
0.55,34.68470241,-34.19380902,0.490893392
0.6,31.7943106,-32.44967655,-0.655365951
0.65,29.34859436,-30.88738233,-1.538787962
0.7,27.25226622,-29.4792161,-2.226949884
0.75,25.43544846,-28.20214983,-2.766701368
0.8,23.84573289,-27.0366876,-3.190954704
0.85,22.44304275,-25.96874941,-3.525706669
0.9,21.19620703,-24.98412629,-3.787919261
0.95,20.08061723,-24.07424393,-3.993626702
1,19.07658634,-23.23029486,-4.153708518
1.05,18.16817746,-22.44668583,-4.278508371
1.1,17.3423512,-21.716403,-4.374051797
1.15,16.58833595,-21.02970107,-4.441365123
1.2,15.89715531,-20.39483644,-4.497681133
1.25,15.26126906,-19.79469287,-4.533423814
1.3,14.67429718,-19.22931057,-4.55501339
1.35,14.1308047,-18.69757049,-4.566765788
1.4,13.6261331,-18.18815509,-4.562021995
1.45,13.15626644,-17.71808299,-4.561816542
1.5,12.71772423,-17.27532089,-4.557596658
1.55,12.30747505,-16.84319772,-4.53572267
1.6,11.92286646,-16.45899423,-4.53612777
1.65,11.56156748,-16.05325637,-4.491688897
1.7,11.22152138,-15.82180192,-4.600280546
1.75,10.90090648,-15.5008111,-4.599904624
1.8,10.59810352,-15.05256243,-4.454458916
1.85,10.31166829,-14.77257502,-4.460906731
1.9,10.0403086,-14.44003354,-4.39972494
1.95,9.782864794,-14.20285123,-4.419986437
2,9.538293172,-13.98580007,-4.447506893
