Distance (Angstrom),Nuclear Repulsion Energy (Hartree),pCCD_free Electronic Energy (Hartree),pCCD_free Total Energy (Hartree)
0.5,38.1531726679209,-36.1530777716503,2.00009489627054
0.55,34.6847024066308,-34.1919421433596,0.492760263271215
0.6,31.7943106030076,-32.446879103752,-0.652568500744373
0.65,29.3485943645718,-30.8831750144136,-1.53458064984185
0.7,27.2522662205196,-29.4758501620191,-2.22358394149952
0.75,25.4354484592049,-28.2001607858646,-2.76471232665961
0.8,23.8457328937643,-27.0340217000885,-3.18828880632413
0.85,22.4430427461586,-25.9671402769754,-3.52409753081677
0.9,21.1962070322453,-24.9804221542918,-3.78421512204642
0.95,20.0806172268883,-24.0715696315194,-3.99095240463107
1,19.0765863423164,-23.2276792070283,-4.15109286471185
1.05,18.1681774562946,-22.4426269534949,-4.27444949720029
1.1,17.3423512044457,-21.7084276498231,-4.36607644537741
1.15,16.5883359470045,-21.0220186900633,-4.43368274305882
1.2,15.8971553092689,-20.3799279964225,-4.48277268715365
1.25,15.261269056392,-19.774536055502,-4.51326699910996
1.3,14.6742971793768,-19.201629449495,-4.5273322701182
1.35,14.1308047018381,-18.6662502199137,-4.53544551807555
1.4,13.6261330974288,-18.156835103192,-4.53070200576319
1.45,13.1562664438106,-17.6668262645515,-4.51055982074091
1.5,12.7177242277037,-17.2205970131307,-4.50287278542701
1.55,12.3074750527341,-16.7876385273114,-4.48016347457724
1.6,11.9228664614629,-16.376321833708,-4.45345537224509
1.65,11.5615674761416,-15.9802792795437,-4.41871180340209
1.7,11.2215213768715,-15.612763830494,-4.39124245362249
1.75,10.9009064794711,-15.2529206262157,-4.35201414674458
1.8,10.5981035177877,-14.9194348993837,-4.32133138159603
1.85,10.3116682873739,-14.5888565394217,-4.27718825204773
1.9,10.040308598381,-14.2793940985424,-4.23908550016138
1.95,9.78286479429498,-13.9938997256927,-4.21103493139771
2,9.53829317230382,-13.707871170571,-4.16957799826715
