Distance (Angstrom),Nuclear Repulsion Energy (Hartree),AP1roGSDGeneralized_free Electronic Energy (Hartree),AP1roGSDGeneralized_free Total Energy (Hartree)
0.5,38.15317267,-36.16232411,1.99084856
0.55,34.68470241,-34.20204852,0.482653886
0.6,31.7943106,-32.45834128,-0.664030675
0.65,29.34859436,-30.8958447,-1.547250338
0.7,27.25226622,-29.49001218,-2.23774596
0.75,25.43544846,-28.21561634,-2.780167879
0.8,23.84573289,-27.05076067,-3.205027773
0.85,22.44304275,-25.985113,-3.542070257
0.9,21.19620703,-25.00007072,-3.803863685
0.95,20.08061723,-24.09188558,-4.011268358
1,19.07658634,-23.24944652,-4.172860177
1.05,18.16817746,-22.46552945,-4.297351996
1.1,17.3423512,-21.73265583,-4.390304621
1.15,16.58833595,-21.05272652,-4.464390573
1.2,15.89715531,-20.40808274,-4.510927435
1.25,15.26126906,-19.81887699,-4.557607935
1.3,14.67429718,-19.24330163,-4.569004448
1.35,14.1308047,-18.72357349,-4.59276879
1.4,13.6261331,-18.21959546,-4.593462361
1.45,13.15626644,-17.73225149,-4.575985043
1.5,12.71772423,-17.31453972,-4.596815488
1.55,12.30747505,-16.9042235,-4.596748446
1.6,11.92286646,-16.51469504,-4.591828581
1.65,11.56156748,-16.1116602,-4.550092727
1.7,11.22152138,-15.78790838,-4.566386999
1.75,10.90090648,-15.46284342,-4.561936944
1.8,10.59810352,-15.13967664,-4.54157312
1.85,10.31166829,-14.87025349,-4.558585207
1.9,10.0403086,-14.59376112,-4.553452522
1.95,9.782864794,-14.37415509,-4.591290296
2,9.538293172,-14.13944384,-4.601150667
