Distance (Angstrom),Nuclear Repulsion Energy (Hartree),AP1roGSDSpin_sen-v Electronic Energy (Hartree),AP1roGSDSpin_sen-v Total Energy (Hartree)
0.5,38.15317267,-36.15317393,1.999998743
0.55,34.68470241,-34.19207657,0.492625835
0.6,31.7943106,-32.44705558,-0.652744974
0.65,29.34859436,-30.88340646,-1.534812091
0.7,27.25226622,-29.47616747,-2.223901247
0.75,25.43544846,-28.20059651,-2.765148055
0.8,23.84573289,-27.03450807,-3.188775175
0.85,22.44304275,-25.96769473,-3.524651987
0.9,21.19620703,-24.98090829,-3.784701253
0.95,20.08061723,-24.0721487,-3.991531476
1,19.07658634,-23.22831601,-4.151729666
1.05,18.16817746,-22.443373,-4.275195544
1.1,17.3423512,-21.71020853,-4.367857326
1.15,16.58833595,-21.02341901,-4.435083062
1.2,15.89715531,-20.3864098,-4.489254486
1.25,15.26126906,-19.78385918,-4.522590121
1.3,14.67429718,-19.21215601,-4.537858826
1.35,14.1308047,-18.68264638,-4.551841682
1.4,13.6261331,-18.17482859,-4.548695495
1.45,13.15626644,-17.68245152,-4.526185072
1.5,12.71772423,-17.25025254,-4.532528316
1.55,12.30747505,-16.82258069,-4.515105635
1.6,11.92286646,-16.41716627,-4.494299808
1.65,11.56156748,-16.00732654,-4.445759069
1.7,11.22152138,-15.66719895,-4.445677573
1.75,10.90090648,-15.38398487,-4.483078389
1.8,10.59810352,-14.98943037,-4.391326854
1.85,10.31166829,-14.80280833,-4.491140043
1.9,10.0403086,-14.55501427,-4.514705667
1.95,9.782864794,-14.09829828,-4.31543349
2,9.538293172,-13.83397288,-4.295679709
