Distance (Angstrom),Nuclear Repulsion Energy (Hartree),APG1roD Electronic Energy (Hartree),APG1roD Total Energy (Hartree)
0.5,38.15317267,-36.15632595,1.996846717
0.55,34.68470241,-34.19366853,0.491033877
0.6,31.7943106,-32.44952913,-0.655218523
0.65,29.34859436,-30.8872362,-1.538641837
0.7,27.25226622,-29.47891057,-2.226644347
0.75,25.43544846,-28.20179055,-2.766342088
0.8,23.84573289,-27.03629761,-3.190564721
0.85,22.44304275,-25.96824491,-3.525202162
0.9,21.19620703,-24.98373636,-3.787529324
0.95,20.08061723,-24.07383143,-3.993214204
1,19.07658634,-23.22981907,-4.153232725
1.05,18.16817746,-22.44472697,-4.276549518
1.1,17.3423512,-21.71111336,-4.368762155
1.15,16.58833595,-21.0247628,-4.436426856
1.2,15.89715531,-20.38109374,-4.483938435
1.25,15.26126906,-19.77580672,-4.514537668
1.3,14.67429718,-19.20507343,-4.530776255
1.35,14.1308047,-18.66768755,-4.536882852
1.4,13.6261331,-18.15909067,-4.532957572
1.45,13.15626644,-17.67419184,-4.517925393
1.5,12.71772423,-17.22182666,-4.504102431
1.55,12.30747505,-16.78885398,-4.481378932
1.6,11.92286646,-16.37771549,-4.454849024
1.65,11.56156748,-15.98214236,-4.420574882
1.7,11.22152138,-15.61427604,-4.392754662
1.75,10.90090648,-15.25877849,-4.357872008
1.8,10.59810352,-14.92145347,-4.323349948
1.85,10.31166829,-14.59324362,-4.281575333
1.9,10.0403086,-14.2832144,-4.242905801
1.95,9.782864794,-13.99593943,-4.21307464
2,9.538293172,-13.71560162,-4.177308443
