Distance (Angstrom),Nuclear Repulsion Energy (Hartree),APG1roSD_sen-o Electronic Energy (Hartree),APG1roSD_sen-o Total Energy (Hartree)
0.5,38.15317267,-36.16543703,1.987735639
0.55,34.68470241,-34.20337202,0.481330387
0.6,31.7943106,-32.4609397,-0.666629092
0.65,29.34859436,-30.89995625,-1.551361889
0.7,27.25226622,-29.49311375,-2.240847525
0.75,25.43544846,-28.21780053,-2.782352072
0.8,23.84573289,-27.05392571,-3.208192814
0.85,22.44304275,-25.98785539,-3.544812643
0.9,21.19620703,-25.00459275,-3.808385718
0.95,20.08061723,-24.09639072,-4.015773492
1,19.07658634,-23.25577143,-4.179185084
1.05,18.16817746,-22.47607976,-4.307902299
1.1,17.3423512,-21.74875632,-4.406405116
1.15,16.58833595,-21.06793145,-4.479595507
1.2,15.89715531,-20.43166652,-4.534511213
1.25,15.26126906,-19.83373944,-4.572470387
1.3,14.67429718,-19.27726339,-4.602966213
1.35,14.1308047,-18.74967835,-4.618873648
1.4,13.6261331,-18.25262267,-4.626489575
1.45,13.15626644,-17.78922301,-4.632956569
1.5,12.71772423,-17.35278215,-4.635057925
1.55,12.30747505,-16.95283,-4.645354952
1.6,11.92286646,-16.57416974,-4.651303278
1.65,11.56156748,-16.21823978,-4.656672301
1.7,11.22152138,-15.88529729,-4.663775915
1.75,10.90090648,-15.57031243,-4.669405953
1.8,10.59810352,-15.26704349,-4.66893997
1.85,10.31166829,-14.98903944,-4.677371152
1.9,10.0403086,-14.72364091,-4.683332312
1.95,9.782864794,-14.46578085,-4.682916061
2,9.538293172,-14.23116008,-4.692866911
