Distance (Angstrom),Nuclear Repulsion Energy (Hartree),APG1roSD_sen-v Electronic Energy (Hartree),APG1roSD_sen-v Total Energy (Hartree)
0.5,38.15317267,-36.16720436,1.985968309
0.55,34.68470241,-34.20493899,0.479763419
0.6,31.7943106,-32.46201771,-0.667707105
0.65,29.34859436,-30.90225863,-1.553664266
0.7,27.25226622,-29.49786763,-2.245601406
0.75,25.43544846,-28.22239869,-2.786950235
0.8,23.84573289,-27.05510678,-3.209373886
0.85,22.44304275,-25.99299566,-3.549952914
0.9,21.19620703,-25.00527375,-3.80906672
0.95,20.08061723,-24.09609652,-4.015479288
1,19.07658634,-23.25342322,-4.176836879
1.05,18.16817746,-22.47682118,-4.308643726
1.1,17.3423512,-21.74514998,-4.40279878
1.15,16.58833595,-21.05349453,-4.465158583
1.2,15.89715531,-20.42549626,-4.528340951
1.25,15.26126906,-19.82648926,-4.5652202
1.3,14.67429718,-19.25765112,-4.583353943
1.35,14.1308047,-18.73320959,-4.602404885
1.4,13.6261331,-18.22635087,-4.600217773
1.45,13.15626644,-17.74178775,-4.585521307
1.5,12.71772423,-17.31762145,-4.599897226
1.55,12.30747505,-16.89712239,-4.589647333
1.6,11.92286646,-16.56011613,-4.637249664
1.65,11.56156748,-16.21018258,-4.648615099
1.7,11.22152138,-15.87133249,-4.649811114
1.75,10.90090648,-15.51811183,-4.617205352
1.8,10.59810352,-15.26799957,-4.669896047
1.85,10.31166829,-14.91917556,-4.60750727
1.9,10.0403086,-14.68158257,-4.641273975
1.95,9.782864794,-14.464257,-4.681392202
2,9.538293172,-14.18014652,-4.641853343
