Distance (Angstrom),Nuclear Repulsion Energy (Hartree),APset1roGD Electronic Energy (Hartree),APset1roGD Total Energy (Hartree)
0.5,38.15317267,-36.15636302,1.99680965
0.55,34.68470241,-34.19371428,0.490988129
0.6,31.7943106,-32.44943434,-0.655123735
0.65,29.34859436,-30.88717586,-1.538581492
0.7,27.25226622,-29.47897048,-2.226704262
0.75,25.43544846,-28.20170942,-2.76626096
0.8,23.84573289,-27.03620101,-3.190468121
0.85,22.44304275,-25.96817722,-3.525134475
0.9,21.19620703,-24.98357542,-3.787368392
0.95,20.08061723,-24.07370607,-3.993088839
1,19.07658634,-23.22974993,-4.153163585
1.05,18.16817746,-22.44448485,-4.276307392
1.1,17.3423512,-21.71076482,-4.368413613
1.15,16.58833595,-21.02458632,-4.43625037
1.2,15.89715531,-20.38089775,-4.483742444
1.25,15.26126906,-19.77545761,-4.514188555
1.3,14.67429718,-19.20470016,-4.530402983
1.35,14.1308047,-18.6671959,-4.536391196
1.4,13.6261331,-18.15862437,-4.53249127
1.45,13.15626644,-17.67368107,-4.517414625
1.5,12.71772423,-17.22119878,-4.503474555
1.55,12.30747505,-16.78828103,-4.48080598
1.6,11.92286646,-16.37698008,-4.454113623
1.65,11.56156748,-15.98151528,-4.419947804
1.7,11.22152138,-15.61340479,-4.391883408
1.75,10.90090648,-15.25789683,-4.356990347
1.8,10.59810352,-14.9204839,-4.322380381
1.85,10.31166829,-14.5922149,-4.280546611
1.9,10.0403086,-14.2821443,-4.241835701
1.95,9.782864794,-13.99482761,-4.211962817
2,9.538293172,-13.71422033,-4.175927156
