Distance (Angstrom),Nuclear Repulsion Energy (Hartree),APset1roGSD_free Electronic Energy (Hartree),APset1roGSD_free Total Energy (Hartree)
0.5,38.15317267,-36.15644,1.996732671
0.55,34.68470241,-34.19382516,0.490877247
0.6,31.7943106,-32.44971506,-0.655404462
0.65,29.34859436,-30.88742613,-1.538831764
0.7,27.25226622,-29.47925233,-2.22698611
0.75,25.43544846,-28.20217151,-2.766723051
0.8,23.84573289,-27.03672167,-3.190988773
0.85,22.44304275,-25.96873152,-3.525688778
0.9,21.19620703,-24.98406849,-3.787861453
0.95,20.08061723,-24.07421133,-3.993594105
1,19.07658634,-23.23186648,-4.155280138
1.05,18.16817746,-22.44973072,-4.281553262
1.1,17.3423512,-21.72055231,-4.378201109
1.15,16.58833595,-21.03897455,-4.450638602
1.2,15.89715531,-20.40245803,-4.505302723
1.25,15.26126906,-19.8031216,-4.541852547
1.3,14.67429718,-19.24408001,-4.569782833
1.35,14.1308047,-18.71128457,-4.580479873
1.4,13.6261331,-18.2133219,-4.587188804
1.45,13.15626644,-17.75169409,-4.595427647
1.5,12.71772423,-17.30400858,-4.586284354
1.55,12.30747505,-16.89145178,-4.583976724
1.6,11.92286646,-16.51057773,-4.587711266
1.65,11.56156748,-16.15975245,-4.598184979
1.7,11.22152138,-15.827661,-4.606139619
1.75,10.90090648,-15.518189,-4.617282516
1.8,10.59810352,-15.20699787,-4.608894351
1.85,10.31166829,-14.94960046,-4.637932174
1.9,10.0403086,-14.69487552,-4.654566917
1.95,9.782864794,-14.43778647,-4.654921672
2,9.538293172,-14.20063826,-4.662345083
