Distance (Angstrom),Nuclear Repulsion Energy (Hartree),pCCD Electronic Energy (Hartree),pCCD Total Energy (Hartree),,s
0.5,38.15317267,-36.15307777,2.000094896,,
0.55,34.68470241,-34.19194214,0.492760263,,
0.6,31.7943106,-32.4468791,-0.652568501,,
0.65,29.34859436,-30.88317501,-1.53458065,,
0.7,27.25226622,-29.47585016,-2.223583941,,
0.75,25.43544846,-28.20016079,-2.764712327,,
0.8,23.84573289,-27.0340217,-3.188288806,,
0.85,22.44304275,-25.96714028,-3.524097531,,
0.9,21.19620703,-24.98042215,-3.784215122,,
0.95,20.08061723,-24.07156963,-3.990952405,,
1,19.07658634,-23.22767921,-4.151092865,,
1.05,18.16817746,-22.44262695,-4.274449497,,
1.1,17.3423512,-21.70842765,-4.366076445,,
1.15,16.58833595,-21.02201869,-4.433682743,,
1.2,15.89715531,-20.379928,-4.482772687,,
1.25,15.26126906,-19.77453606,-4.513266999,,
1.3,14.67429718,-19.20162945,-4.52733227,,
1.35,14.1308047,-18.66625022,-4.535445518,,
1.4,13.6261331,-18.1568351,-4.530702006,,
1.45,13.15626644,-17.66682626,-4.510559821,,
1.5,12.71772423,-17.22059701,-4.502872785,,
1.55,12.30747505,-16.78763853,-4.480163475,,
1.6,11.92286646,-16.37632183,-4.453455372,,
1.65,11.56156748,-15.98027928,-4.418711803,,
1.7,11.22152138,-15.61276383,-4.391242454,,
1.75,10.90090648,-15.25292063,-4.352014147,,
1.8,10.59810352,-14.9194349,-4.321331382,,
1.85,10.31166829,-14.58885654,-4.277188252,,
1.9,10.0403086,-14.2793941,-4.2390855,,
1.95,9.782864794,-13.99389973,-4.211034931,,
2,9.538293172,-13.70787117,-4.169577998,,
