Distance (Angstrom),Nuclear Repulsion Energy (Hartree),APG1roSD_sen-o Electronic Energy (Hartree),APG1roSD_sen-o Total Energy (Hartree)
0.5,25.2642463,-28.17756081,-2.913314511
0.55,22.96749668,-26.67119081,-3.703694138
0.6,21.05353858,-25.3122369,-4.258698317
0.65,19.43403566,-24.08323871,-4.649203047
0.7,18.04589026,-22.96826093,-4.922370673
0.75,16.84283089,-21.95319302,-5.110362129
0.8,15.79015397,-21.02575254,-5.235598577
0.85,14.86132138,-20.17536418,-5.314042794
0.9,14.03569242,-19.39298469,-5.357292267
0.95,13.29697176,-18.67091675,-5.373944993
1,12.63212318,-18.00262463,-5.37050145
1.05,12.0305935,-17.38256706,-5.351973563
1.1,11.48374834,-16.80605202,-5.322303683
1.15,10.98445493,-16.2691166,-5.284661664
1.2,10.52676932,-15.76842534,-5.241656018
1.25,10.10569855,-15.30118232,-5.195483767
1.3,9.717017819,-14.86504996,-5.148032139
1.35,9.357128277,-14.45805526,-5.100926986
1.4,9.02294512,-14.07890697,-5.05596185
1.45,8.711809086,-13.72617412,-5.01436503
1.5,8.421415444,-13.39766145,-4.976246003
1.55,8.149756888,-13.09140165,-4.94164476
1.6,7.89507698,-12.80560651,-4.91052953
1.65,7.655832227,-12.53863339,-4.882801165
1.7,7.430660685,-12.28896122,-4.858300539
1.75,7.218356101,-12.05517379,-4.836817684
1.8,7.017846205,-11.83595684,-4.818110633
1.85,6.828174688,-11.63009209,-4.801917399
1.9,6.648485881,-11.43645832,-4.787972437
1.95,6.478011885,-11.25402805,-4.776016165
2,6.316061589,-11.08186416,-4.765802573
