Distance (Angstrom),Nuclear Repulsion Energy (Hartree),AP1roGSDGeneralized_free Electronic Energy (Hartree),AP1roGSDGeneralized_free Total Energy (Hartree)
0.5,25.2642463,-28.17726626,-2.91301996
0.55,22.96749668,-26.67083549,-3.703338817
0.6,21.05353858,-25.31181567,-4.258277087
0.65,19.43403566,-24.08274742,-4.648711757
0.7,18.04589026,-22.96769246,-4.921802201
0.75,16.84283089,-21.95254195,-5.109711056
0.8,15.79015397,-21.02501699,-5.234863025
0.85,14.86132138,-20.17453414,-5.313212753
0.9,14.03569242,-19.39205689,-5.356364469
0.95,13.29697176,-18.66988354,-5.372911785
1,12.63212318,-18.00148694,-5.369363757
1.05,12.0305935,-17.38132222,-5.350728719
1.1,11.48374834,-16.80471237,-5.320964028
1.15,10.98445493,-16.26768164,-5.283226709
1.2,10.52676932,-15.76692452,-5.240155207
1.25,10.10569855,-15.29964533,-5.193946784
1.3,9.717017819,-14.8635033,-5.146485484
1.35,9.357128277,-14.45655795,-5.099429674
1.4,9.02294512,-14.07748545,-5.054540326
1.45,8.711809086,-13.72490388,-5.013094789
1.5,8.421415444,-13.39655104,-4.975135598
1.55,8.149756888,-13.0904589,-4.940702008
1.6,7.89507698,-12.80483805,-4.909761068
1.65,7.655832227,-12.53800948,-4.88217725
1.7,7.430660685,-12.28845849,-4.857797808
1.75,7.218356101,-12.05478626,-4.836430163
1.8,7.017846205,-11.83565344,-4.817807233
1.85,6.828174688,-11.62986175,-4.801687061
1.9,6.648485881,-11.43627954,-4.787793664
1.95,6.478011885,-11.25389544,-4.775883552
2,6.316061589,-11.0817629,-4.765701314
