Distance (Angstrom),Nuclear Repulsion Energy (Hartree),AP1roGSDGeneralized_sen-o Electronic Energy (Hartree),AP1roGSDGeneralized_sen-o Total Energy (Hartree)
0.5,25.2642463,-28.17726604,-2.91301974
0.55,22.96749668,-26.67083554,-3.703338862
0.6,21.05353858,-25.31181845,-4.258279869
0.65,19.43403566,-24.08274773,-4.648712072
0.7,18.04589026,-22.96769335,-4.921803095
0.75,16.84283089,-21.95254197,-5.109711072
0.8,15.79015397,-21.02501475,-5.234860786
0.85,14.86132138,-20.1745353,-5.31321392
0.9,14.03569242,-19.39205526,-5.356362841
0.95,13.29697176,-18.66988418,-5.372912421
1,12.63212318,-18.00148629,-5.369363112
1.05,12.0305935,-17.38133075,-5.350737248
1.1,11.48374834,-16.80471063,-5.320962286
1.15,10.98445493,-16.26768198,-5.283227048
1.2,10.52676932,-15.76692691,-5.240157597
1.25,10.10569855,-15.299637,-5.193938456
1.3,9.717017819,-14.86349829,-5.146480467
1.35,9.357128277,-14.45654881,-5.099420536
1.4,9.02294512,-14.07749235,-5.054547231
1.45,8.711809086,-13.72489526,-5.013086174
1.5,8.421415444,-13.39655836,-4.975142917
1.55,8.149756888,-13.09046682,-4.940709929
1.6,7.89507698,-12.80483184,-4.909754862
1.65,7.655832227,-12.53800278,-4.882170554
1.7,7.430660685,-12.28845926,-4.857798578
1.75,7.218356101,-12.05478909,-4.836432985
1.8,7.017846205,-11.83565602,-4.817809818
1.85,6.828174688,-11.6298542,-4.801679511
1.9,6.648485881,-11.43628502,-4.787799134
1.95,6.478011885,-11.25389065,-4.775878768
2,6.316061589,-11.08176564,-4.765704055
