Distance (Angstrom),Nuclear Repulsion Energy (Hartree),AP1roGSDGeneralized_sen-v Electronic Energy (Hartree),AP1roGSDGeneralized_sen-v Total Energy (Hartree)
0.5,25.2642463,-28.17824097,-2.913994675
0.55,22.96749668,-26.67137316,-3.703876482
0.6,21.05353858,-25.31194886,-4.258410278
0.65,19.43403566,-24.08275239,-4.64871673
0.7,18.04589026,-22.96769712,-4.921806861
0.75,16.84283089,-21.95254771,-5.109716819
0.8,15.79015397,-21.02502023,-5.234866266
0.85,14.86132138,-20.17454059,-5.313219205
0.9,14.03569242,-19.39205954,-5.356367121
0.95,13.29697176,-18.66989065,-5.372918887
1,12.63212318,-18.00149626,-5.369373077
1.05,12.0305935,-17.38133791,-5.350744408
1.1,11.48374834,-16.80472528,-5.320976935
1.15,10.98445493,-16.26769443,-5.283239501
1.2,10.52676932,-15.76694302,-5.240173698
1.25,10.10569855,-15.2996467,-5.193948152
1.3,9.717017819,-14.86351224,-5.146494417
1.35,9.357128277,-14.45655671,-5.099428436
1.4,9.02294512,-14.07750607,-5.054560955
1.45,8.711809086,-13.72492375,-5.013114664
1.5,8.421415444,-13.39658131,-4.975165869
1.55,8.149756888,-13.09048632,-4.940729428
1.6,7.89507698,-12.80484615,-4.90976917
1.65,7.655832227,-12.53801064,-4.882178414
1.7,7.430660685,-12.28846716,-4.857806477
1.75,7.218356101,-12.05478036,-4.836424257
1.8,7.017846205,-11.83565428,-4.817808075
1.85,6.828174688,-11.62986096,-4.801686268
1.9,6.648485881,-11.43627858,-4.787792704
1.95,6.478011885,-11.25389162,-4.775879734
2,6.316061589,-11.08176307,-4.765701478
