Distance (Angstrom),Nuclear Repulsion Energy (Hartree),AP1roGSDSpin_sen-ov Electronic Energy (Hartree),AP1roGSDSpin_sen-ov Total Energy (Hartree)
0.5,25.2642463,-28.16363447,-2.899388177
0.55,22.96749668,-26.65517296,-3.687676284
0.6,21.05353858,-25.29391931,-4.240380727
0.65,19.43403566,-24.06236754,-4.628331877
0.7,18.04589026,-22.94453169,-4.898641438
0.75,16.84283089,-21.92624479,-5.083413899
0.8,15.79015397,-20.99516037,-5.205006401
0.85,14.86132138,-20.14062508,-5.279303692
0.9,14.03569242,-19.35350295,-5.317810532
0.95,13.29697176,-18.62598337,-5.329011616
1,12.63212318,-17.95139195,-5.319268765
1.05,12.0305935,-17.32401867,-5.293425169
1.1,11.48374834,-16.7389654,-5.255217062
1.15,10.98445493,-16.19245416,-5.20799923
1.2,10.52676932,-15.68668973,-5.159920414
1.25,10.10569855,-15.21923259,-5.113534041
1.3,9.717017819,-14.78621759,-5.069199767
1.35,9.357128277,-14.38450689,-5.027378616
1.4,9.02294512,-14.01132542,-4.988380301
1.45,8.711809086,-13.66426483,-4.952455748
1.5,8.421415444,-13.3412841,-4.919868654
1.55,8.149756888,-13.04038294,-4.890626055
1.6,7.89507698,-12.75976999,-4.864693007
1.65,7.655832227,-12.4977506,-4.841918368
1.7,7.430660685,-12.25276105,-4.822100365
1.75,7.218356101,-12.02333702,-4.804980924
1.8,7.017846205,-11.80812136,-4.790275155
1.85,6.828174688,-11.60589348,-4.777718789
1.9,6.648485881,-11.41551983,-4.767033944
1.95,6.478011885,-11.23598761,-4.757975722
2,6.316061589,-11.06637985,-4.750318263
