Distance (Angstrom),Nuclear Repulsion Energy (Hartree),AP1roGSDSpin_sen-v Electronic Energy (Hartree),AP1roGSDSpin_sen-v Total Energy (Hartree)
0.5,25.2642463,-28.1636345,-2.899388198
0.55,22.96749668,-26.65517294,-3.687676268
0.6,21.05353858,-25.2939194,-4.240380819
0.65,19.43403566,-24.06236742,-4.628331765
0.7,18.04589026,-22.94453178,-4.898641525
0.75,16.84283089,-21.92624485,-5.083413959
0.8,15.79015397,-20.99516041,-5.205006446
0.85,14.86132138,-20.14062503,-5.279303642
0.9,14.03569242,-19.35350292,-5.317810499
0.95,13.29697176,-18.62598343,-5.329011669
1,12.63212318,-17.95139234,-5.319269157
1.05,12.0305935,-17.32401885,-5.293425352
1.1,11.48374834,-16.73896542,-5.255217081
1.15,10.98445493,-16.19245505,-5.208000119
1.2,10.52676932,-15.68669893,-5.159929609
1.25,10.10569855,-15.21920837,-5.113509822
1.3,9.717017819,-14.78624518,-5.069227364
1.35,9.357128277,-14.38450845,-5.027380172
1.4,9.02294512,-14.01131277,-4.98836765
1.45,8.711809086,-13.66428258,-4.952473496
1.5,8.421415444,-13.34128353,-4.919868081
1.55,8.149756888,-13.04038154,-4.890624648
1.6,7.89507698,-12.75976995,-4.864692967
1.65,7.655832227,-12.49775517,-4.841922942
1.7,7.430660685,-12.25276014,-4.822099454
1.75,7.218356101,-12.02333223,-4.804976134
1.8,7.017846205,-11.8081221,-4.790275899
1.85,6.828174688,-11.60589239,-4.777717703
1.9,6.648485881,-11.41552021,-4.767034334
1.95,6.478011885,-11.23598755,-4.757975668
2,6.316061589,-11.06637712,-4.750315529
