Distance (Angstrom),Nuclear Repulsion Energy (Hartree),APG1roD Electronic Energy (Hartree),APG1roD Total Energy (Hartree)
0.5,25.2642463,-28.16382991,-2.899583608
0.55,22.96749668,-26.65542291,-3.687926237
0.6,21.05353858,-25.29422272,-4.24068414
0.65,19.43403566,-24.06274477,-4.628709107
0.7,18.04589026,-22.94497739,-4.899087136
0.75,16.84283089,-21.92674917,-5.083918277
0.8,15.79015397,-20.99572886,-5.205574895
0.85,14.86132138,-20.14130833,-5.279986944
0.9,14.03569242,-19.3542706,-5.318578179
0.95,13.29697176,-18.62683016,-5.329858404
1,12.63212318,-17.95236319,-5.320240009
1.05,12.0305935,-17.32509672,-5.294503216
1.1,11.48374834,-16.74015802,-5.256409678
1.15,10.98445493,-16.19332759,-5.208872661
1.2,10.52676932,-15.6809648,-5.154195482
1.25,10.10569855,-15.19989806,-5.094199507
1.3,9.717017819,-14.74744311,-5.030425286
1.35,9.357128277,-14.32110646,-4.963978183
1.4,9.02294512,-13.91884846,-4.895903343
1.45,8.711809086,-13.53874534,-4.82693625
1.5,8.421415444,-13.17923656,-4.757821112
1.55,8.149756888,-12.83881319,-4.6890563
1.6,7.89507698,-12.51615168,-4.6210747
1.65,7.655832227,-12.21018453,-4.554352299
1.7,7.430660685,-11.91975091,-4.489090225
1.75,7.218356101,-11.64390639,-4.425550289
1.8,7.017846205,-11.38179793,-4.363951723
1.85,6.828174688,-11.13265605,-4.304481366
1.9,6.648485881,-10.89571319,-4.247227306
1.95,6.478011885,-10.67027688,-4.192264995
2,6.316061589,-10.45573684,-4.139675248
