Distance (Angstrom),Nuclear Repulsion Energy (Hartree),APG1roSD_free Electronic Energy (Hartree),APG1roSD_free Total Energy (Hartree)
0.5,25.2642463,-28.1775608,-2.913314498
0.55,22.96749668,-26.67119092,-3.703694246
0.6,21.05353858,-25.31223682,-4.258698241
0.65,19.43403566,-24.08323874,-4.649203083
0.7,18.04589026,-22.96826099,-4.922370731
0.75,16.84283089,-21.95319306,-5.110362163
0.8,15.79015397,-21.02575254,-5.235598571
0.85,14.86132138,-20.17536401,-5.314042624
0.9,14.03569242,-19.39298468,-5.357292259
0.95,13.29697176,-18.67091682,-5.373945066
1,12.63212318,-18.00262466,-5.370501483
1.05,12.0305935,-17.38256695,-5.351973451
1.1,11.48374834,-16.80605202,-5.322303682
1.15,10.98445493,-16.26911651,-5.284661581
1.2,10.52676932,-15.76842521,-5.241655895
1.25,10.10569855,-15.30118227,-5.195483726
1.3,9.717017819,-14.86504969,-5.148031876
1.35,9.357128277,-14.4580553,-5.100927027
1.4,9.02294512,-14.07890679,-5.055961675
1.45,8.711809086,-13.72617381,-5.014364722
1.5,8.421415444,-13.39766164,-4.976246194
1.55,8.149756888,-13.09140134,-4.941644449
1.6,7.89507698,-12.80560612,-4.910529144
1.65,7.655832227,-12.53863335,-4.882801121
1.7,7.430660685,-12.28896096,-4.858300272
1.75,7.218356101,-12.0551742,-4.836818102
1.8,7.017846205,-11.83595679,-4.818110585
1.85,6.828174688,-11.63009217,-4.801917486
1.9,6.648485881,-11.4364584,-4.787972521
1.95,6.478011885,-11.25402796,-4.776016078
2,6.316061589,-11.08186408,-4.765802488
