Distance (Angstrom),Nuclear Repulsion Energy (Hartree),APG1roSD_sen-ov Electronic Energy (Hartree),APG1roSD_sen-ov Total Energy (Hartree)
0.5,25.2642463,-28.17853733,-2.914291033
0.55,22.96749668,-26.6717405,-3.704243826
0.6,21.05353858,-25.31237747,-4.25883889
0.65,19.43403566,-24.08322154,-4.649185879
0.7,18.04589026,-22.96823919,-4.922348935
0.75,16.84283089,-21.95316774,-5.110336849
0.8,15.79015397,-21.02572442,-5.235570452
0.85,14.86132138,-20.17533033,-5.314008943
0.9,14.03569242,-19.39294433,-5.357251909
0.95,13.29697176,-18.67086698,-5.373895225
1,12.63212318,-18.00256214,-5.370438961
1.05,12.0305935,-17.38249511,-5.351901607
1.1,11.48374834,-16.80595872,-5.322210376
1.15,10.98445493,-16.26900049,-5.284545564
1.2,10.52676932,-15.76828711,-5.241517796
1.25,10.10569855,-15.30100802,-5.195309474
1.3,9.717017819,-14.86484407,-5.147826254
1.35,9.357128277,-14.45781659,-5.100688313
1.4,9.02294512,-14.07864291,-5.05569779
1.45,8.711809086,-13.72590477,-5.014095687
1.5,8.421415444,-13.39738015,-4.97596471
1.55,8.149756888,-13.09113499,-4.9413781
1.6,7.89507698,-12.80534828,-4.910271299
1.65,7.655832227,-12.5383995,-4.882567268
1.7,7.430660685,-12.28875858,-4.8580979
1.75,7.218356101,-12.05500981,-4.836653708
1.8,7.017846205,-11.83581868,-4.817972477
1.85,6.828174688,-11.62997668,-4.801801995
1.9,6.648485881,-11.43636748,-4.787881604
1.95,6.478011885,-11.25395456,-4.775942672
2,6.316061589,-11.08180637,-4.765744781
