Distance (Angstrom),Nuclear Repulsion Energy (Hartree),APset1roGSD_free Electronic Energy (Hartree),APset1roGSD_free Total Energy (Hartree)
0.5,25.2642463,-28.16387965,-2.899633351
0.55,22.96749668,-26.65546705,-3.687970378
0.6,21.05353858,-25.29426711,-4.240728531
0.65,19.43403566,-24.06277379,-4.628738129
0.7,18.04589026,-22.94500201,-4.899111751
0.75,16.84283089,-21.92678562,-5.083954725
0.8,15.79015397,-20.99577855,-5.205624582
0.85,14.86132138,-20.14132802,-5.280006633
0.9,14.03569242,-19.35429922,-5.318606801
0.95,13.29697176,-18.62688185,-5.329910093
1,12.63212318,-17.95240293,-5.320279747
1.05,12.0305935,-17.32515263,-5.294559129
1.1,11.48374834,-16.74023258,-5.256484235
1.15,10.98445493,-16.19397191,-5.209516976
1.2,10.52676932,-15.68844906,-5.16167974
1.25,10.10569855,-15.22101455,-5.115316
1.3,9.717017819,-14.78792324,-5.070905419
1.35,9.357128277,-14.38603227,-5.028903995
1.4,9.02294512,-14.01265357,-4.989708454
1.45,8.711809086,-13.66543198,-4.953622898
1.5,8.421415444,-13.34225386,-4.920838415
1.55,8.149756888,-13.04118012,-4.891423229
1.6,7.89507698,-12.76041088,-4.865333902
1.65,7.655832227,-12.49826194,-4.842429709
1.7,7.430660685,-12.25315999,-4.822499304
1.75,7.218356101,-12.02364247,-4.805286367
1.8,7.017846205,-11.80835862,-4.790512419
1.85,6.828174688,-11.60607256,-4.77789787
1.9,6.648485881,-11.41565644,-4.767170558
1.95,6.478011885,-11.23609132,-4.758079439
2,6.316061589,-11.06645703,-4.750395437
