Distance (Angstrom),Nuclear Repulsion Energy (Hartree),APset1roGSD_sen-o Electronic Energy (Hartree),APset1roGSD_sen-o Total Energy (Hartree)
0.5,25.2642463,-28.16387965,-2.899633357
0.55,22.96749668,-26.65546705,-3.687970376
0.6,21.05353858,-25.29426708,-4.240728499
0.65,19.43403566,-24.0627738,-4.628738139
0.7,18.04589026,-22.94500208,-4.899111824
0.75,16.84283089,-21.92678572,-5.083954827
0.8,15.79015397,-20.99577857,-5.205624605
0.85,14.86132138,-20.14132813,-5.280006749
0.9,14.03569242,-19.35429908,-5.318606659
0.95,13.29697176,-18.6268819,-5.329910146
1,12.63212318,-17.952403,-5.320279823
1.05,12.0305935,-17.32515265,-5.294559146
1.1,11.48374834,-16.74023282,-5.256484482
1.15,10.98445493,-16.19397154,-5.209516613
1.2,10.52676932,-15.68844915,-5.16167983
1.25,10.10569855,-15.2210155,-5.115316951
1.3,9.717017819,-14.78792204,-5.070904224
1.35,9.357128277,-14.38603157,-5.028903292
1.4,9.02294512,-14.01265322,-4.9897081
1.45,8.711809086,-13.66543076,-4.953621678
1.5,8.421415444,-13.34225444,-4.920838995
1.55,8.149756888,-13.04117993,-4.891423037
1.6,7.89507698,-12.76041057,-4.865333594
1.65,7.655832227,-12.49826202,-4.842429792
1.7,7.430660685,-12.25316055,-4.822499863
1.75,7.218356101,-12.02364244,-4.805286337
1.8,7.017846205,-11.8083587,-4.790512498
1.85,6.828174688,-11.60607211,-4.777897426
1.9,6.648485881,-11.41565632,-4.767170435
1.95,6.478011885,-11.23609107,-4.75807918
2,6.316061589,-11.06645698,-4.750395387
