Distance (Angstrom),Nuclear Repulsion Energy (Hartree),APset1roGSD_sen-ov Electronic Energy (Hartree),APset1roGSD_sen-ov Total Energy (Hartree)
0.5,25.2642463,-28.16387961,-2.899633315
0.55,22.96749668,-26.65546704,-3.687970369
0.6,21.05353858,-25.29426712,-4.240728544
0.65,19.43403566,-24.06277372,-4.628738065
0.7,18.04589026,-22.94500206,-4.899111804
0.75,16.84283089,-21.9267857,-5.083954808
0.8,15.79015397,-20.99577846,-5.205624491
0.85,14.86132138,-20.14132803,-5.280006642
0.9,14.03569242,-19.35429942,-5.318606999
0.95,13.29697176,-18.62688181,-5.329910051
1,12.63212318,-17.95240297,-5.320279786
1.05,12.0305935,-17.32515241,-5.294558912
1.1,11.48374834,-16.74023283,-5.256484491
1.15,10.98445493,-16.19391893,-5.209464001
1.2,10.52676932,-15.68830466,-5.161535343
1.25,10.10569855,-15.2208173,-5.115118753
1.3,9.717017819,-14.78768344,-5.070665617
1.35,9.357128277,-14.38576298,-5.028634703
1.4,9.02294512,-14.01237069,-4.989425566
1.45,8.711809086,-13.66515601,-4.953346923
1.5,8.421415444,-13.34196686,-4.920551413
1.55,8.149756888,-13.04091131,-4.891154424
1.6,7.89507698,-12.76018968,-4.865112695
1.65,7.655832227,-12.49805899,-4.842226758
1.7,7.430660685,-12.25298901,-4.822328323
1.75,7.218356101,-12.02350179,-4.805145689
1.8,7.017846205,-11.80824422,-4.790398014
1.85,6.828174688,-11.60598321,-4.777808525
1.9,6.648485881,-11.41557955,-4.76709367
1.95,6.478011885,-11.23603288,-4.758020995
2,6.316061589,-11.0664127,-4.750351113
