Distance (Angstrom),Nuclear Repulsion Energy (Hartree),APset1roGSD_sen-v Electronic Energy (Hartree),APset1roGSD_sen-v Total Energy (Hartree)
0.5,25.2642463,-28.16387965,-2.899633349
0.55,22.96749668,-26.65546706,-3.68797038
0.6,21.05353858,-25.29426714,-4.240728564
0.65,19.43403566,-24.06277378,-4.628738125
0.7,18.04589026,-22.94500198,-4.899111719
0.75,16.84283089,-21.92678572,-5.083954822
0.8,15.79015397,-20.99577856,-5.205624598
0.85,14.86132138,-20.14132808,-5.280006695
0.9,14.03569242,-19.35429918,-5.318606761
0.95,13.29697176,-18.62688198,-5.329910222
1,12.63212318,-17.9524029,-5.320279716
1.05,12.0305935,-17.32515241,-5.294558914
1.1,11.48374834,-16.74023226,-5.256483915
1.15,10.98445493,-16.19392226,-5.209467333
1.2,10.52676932,-15.68830042,-5.161531102
1.25,10.10569855,-15.22082791,-5.115129365
1.3,9.717017819,-14.78769665,-5.070678833
1.35,9.357128277,-14.38577863,-5.028650357
1.4,9.02294512,-14.01236849,-4.989423371
1.45,8.711809086,-13.66513915,-4.953330059
1.5,8.421415444,-13.34196642,-4.920550979
1.55,8.149756888,-13.04091481,-4.891157923
1.6,7.89507698,-12.76017294,-4.865095961
1.65,7.655832227,-12.49806016,-4.842227932
1.7,7.430660685,-12.25299468,-4.82233399
1.75,7.218356101,-12.0234942,-4.805138104
1.8,7.017846205,-11.80824514,-4.79039894
1.85,6.828174688,-11.60598068,-4.777805987
1.9,6.648485881,-11.41558528,-4.767099399
1.95,6.478011885,-11.23603497,-4.758023089
2,6.316061589,-11.06641357,-4.750351986
