Distance (Angstrom),Nuclear Repulsion Energy (Hartree),HF Electronic Energy (Hartree),HF Total Energy (Hartree)
0.5,25.2642463,-28.13830026,-2.874053964
0.55,22.96749668,-26.62786753,-3.660370858
0.6,21.05353858,-25.26472654,-4.211187963
0.65,19.43403566,-24.03134053,-4.597304874
0.7,18.04589026,-22.91170228,-4.865812023
0.75,16.84283089,-21.89162908,-5.048798186
0.8,15.79015397,-20.95875999,-5.168606028
0.85,14.86132138,-20.10242757,-5.241106182
0.9,14.03569242,-19.31348072,-5.277788297
0.95,13.29697176,-18.58409305,-5.287121287
1,12.63212318,-17.90757503,-5.275451852
1.05,12.0305935,-17.27820134,-5.247607836
1.1,11.48374834,-16.69105944,-5.207311097
1.15,10.98445493,-16.14192056,-5.15746563
1.2,10.52676932,-15.62713158,-5.100362266
1.25,10.10569855,-15.14352491,-5.03782636
1.3,9.717017819,-14.68834355,-4.971325735
1.35,9.357128277,-14.25917874,-4.902050463
1.4,9.02294512,-13.85391753,-4.830972415
1.45,8.711809086,-13.47069917,-4.758890079
1.5,8.421415444,-13.10787795,-4.686462501
1.55,8.149756888,-12.76399205,-4.614235166
1.6,7.89507698,-12.43773685,-4.542659868
1.65,7.655832227,-12.12794235,-4.472110122
1.7,7.430660685,-11.83355398,-4.402893298
1.75,7.218356101,-11.55361645,-4.335260344
1.8,7.017846205,-11.28725994,-4.269413736
1.85,6.828174688,-11.0336888,-4.20551411
1.9,6.648485881,-10.79217176,-4.143685881
1.95,6.478011885,-10.56203395,-4.084022063
2,6.316061589,-10.34265002,-4.026588435
