Distance (Angstrom),Nuclear Repulsion Energy (Hartree),pCCD Electronic Energy (Hartree),pCCD Total Energy (Hartree)
0.5,25.2642463,-28.16359015,-2.899343849
0.55,22.96749668,-26.65513082,-3.687634142
0.6,21.05353858,-25.29387722,-4.240338643
0.65,19.43403566,-24.06233177,-4.628296112
0.7,18.04589026,-22.94449777,-4.898607509
0.75,16.84283089,-21.92619808,-5.083367187
0.8,15.79015397,-20.99512558,-5.204971618
0.85,14.86132138,-20.14057566,-5.279254272
0.9,14.03569242,-19.35346563,-5.317773212
0.95,13.29697176,-18.62593105,-5.328959294
1,12.63212318,-17.95134149,-5.319218308
1.05,12.0305935,-17.3239603,-5.293366802
1.1,11.48374834,-16.73886887,-5.255120527
1.15,10.98445493,-16.1919073,-5.207452368
1.2,10.52676932,-15.67942707,-5.152657757
1.25,10.10569855,-15.19817856,-5.092480008
1.3,9.717017819,-14.7454992,-5.028481384
1.35,9.357128277,-14.31899323,-4.961864952
1.4,9.02294512,-13.91650754,-4.893562419
1.45,8.711809086,-13.53620609,-4.824397002
1.5,8.421415444,-13.17644082,-4.755025372
1.55,8.149756888,-12.83574499,-4.685988105
1.6,7.89507698,-12.51282337,-4.617746389
1.65,7.655832227,-12.20655897,-4.550726745
1.7,7.430660685,-11.91586562,-4.485204931
1.75,7.218356101,-11.63966754,-4.421311443
1.8,7.017846205,-11.37730638,-4.359460174
1.85,6.828174688,-11.12790257,-4.299727881
1.9,6.648485881,-10.89048257,-4.241996686
1.95,6.478011885,-10.66472862,-4.186716736
2,6.316061589,-10.44994589,-4.133884303
