Distance (Angstrom),Nuclear Repulsion Energy (Hartree),AP1roGSDGeneralized_sen-o Electronic Energy (Hartree),AP1roGSDGeneralized_sen-o Total Energy (Hartree)
0.5,33.81651208,-33.56270151,0.253810565
0.55,30.74228368,-31.84633564,-1.104051955
0.6,28.18042675,-30.29233515,-2.1119084
0.65,26.01270158,-28.87908265,-2.866381066
0.7,24.15465147,-27.58926342,-3.434611953
0.75,22.5443414,-26.40651981,-3.862178404
0.8,21.13532006,-25.32075928,-4.185439227
0.85,19.89206587,-24.31625732,-4.424191447
0.9,18.78695112,-23.390983,-4.604031872
0.95,17.79816422,-22.53063667,-4.732472452
1,16.90825603,-21.73048531,-4.822229279
1.05,16.10310098,-20.98459132,-4.881490344
1.1,15.37114184,-20.28779365,-4.916651805
1.15,14.70283135,-19.63559002,-4.932758668
1.2,14.09021335,-19.02401067,-4.933797321
1.25,13.52660481,-18.44962362,-4.923018806
1.3,13.00635079,-17.90935643,-4.903005635
1.35,12.5246341,-17.40050089,-4.875866796
1.4,12.07732574,-16.92068019,-4.84335445
1.45,11.66086623,-16.46788268,-4.807016446
1.5,11.27217067,-16.04021021,-4.768039541
1.55,10.90855227,-15.63604972,-4.727497449
1.6,10.56766001,-15.27654188,-4.708881866
1.65,10.24742789,-14.9558635,-4.708435611
1.7,9.946032957,-14.65269096,-4.706658
1.75,9.661860587,-14.36579726,-4.703936677
1.8,9.393475577,-14.0941481,-4.700672528
1.85,9.139597843,-13.83654979,-4.696951952
1.9,8.899082111,-13.59181839,-4.692736276
1.95,8.670900528,-13.36149714,-4.690596615
2,8.454128015,-13.14776354,-4.69363553
