Distance (Angstrom),Nuclear Repulsion Energy (Hartree),APG1roSD_sen-ov Electronic Energy (Hartree),APG1roSD_sen-ov Total Energy (Hartree)
0.5,33.81651208,-33.56849142,0.248020658
0.55,30.74228368,-31.85281413,-1.110530444
0.6,28.18042675,-30.29706564,-2.116638889
0.65,26.01270158,-28.88433499,-2.871633402
0.7,24.15465147,-27.59627478,-3.441623318
0.75,22.5443414,-26.41478734,-3.870445937
0.8,21.13532006,-25.32689133,-4.19157127
0.85,19.89206587,-24.32490165,-4.432835777
0.9,18.78695112,-23.3979327,-4.610981573
0.95,17.79816422,-22.53803522,-4.739870998
1,16.90825603,-21.73836554,-4.830109509
1.05,16.10310098,-20.99298707,-4.889886088
1.1,15.37114184,-20.29676176,-4.925619924
1.15,14.70283135,-19.64521232,-4.942380961
1.2,14.09021335,-19.03435672,-4.944143368
1.25,13.52660481,-18.46081884,-4.934214026
1.3,13.00635079,-17.92153993,-4.915189142
1.35,12.5246341,-17.41393151,-4.889297417
1.4,12.07732574,-16.93567199,-4.858346247
1.45,11.66086623,-16.4847897,-4.823923462
1.5,11.27217067,-16.0595883,-4.787417631
1.55,10.90855227,-15.65850925,-4.749956981
1.6,10.56766001,-15.28034244,-4.712682427
1.65,10.24742789,-14.92370457,-4.676276684
1.7,9.946032957,-14.58781639,-4.641783432
1.75,9.661860587,-14.271136,-4.609275409
1.8,9.393475577,-13.97293811,-4.579462537
1.85,9.139597843,-13.69377765,-4.554179804
1.9,8.899082111,-13.4307824,-4.531700285
1.95,8.670900528,-13.18252807,-4.511627537
2,8.454128015,-13.01963231,-4.565504294
