Distance (Angstrom),Nuclear Repulsion Energy (Hartree),APset1roGD Electronic Energy (Hartree),APset1roGD Total Energy (Hartree)
0.5,33.81651208,-33.55936446,0.257147619
0.55,30.74228368,-31.84290311,-1.100619431
0.6,28.18042675,-30.28842966,-2.108002906
0.65,26.01270158,-28.87482981,-2.862128227
0.7,24.15465147,-27.58429851,-3.429647043
0.75,22.5443414,-26.40152613,-3.857184729
0.8,21.13532006,-25.3138721,-4.178552046
0.85,19.89206587,-24.31025188,-4.418186007
0.9,18.78695112,-23.3816653,-4.594714176
0.95,17.79816422,-22.51976723,-4.721603009
1,16.90825603,-21.7180438,-4.809787766
1.05,16.10310098,-20.97020153,-4.867100554
1.1,15.37114184,-20.27120017,-4.90005833
1.15,14.70283135,-19.61647812,-4.913646768
1.2,14.09021335,-19.00203588,-4.911822528
1.25,13.52660481,-18.42421829,-4.897613484
1.3,13.00635079,-17.88023478,-4.873883989
1.35,12.5246341,-17.36705503,-4.842420938
1.4,12.07732574,-16.88236878,-4.805043032
1.45,11.66086623,-16.4238823,-4.763016067
1.5,11.27217067,-15.98984279,-4.717672118
1.55,10.90855227,-15.57826788,-4.669715606
1.6,10.56766001,-15.18793477,-4.620274757
1.65,10.24742789,-14.81709665,-4.569668761
1.7,9.946032957,-14.46461252,-4.518579559
1.75,9.661860587,-14.12945456,-4.467593969
1.8,9.393475577,-13.8104522,-4.416976627
1.85,9.139597843,-13.50698938,-4.367391537
1.9,8.899082111,-13.21748585,-4.318403739
1.95,8.670900528,-12.94181248,-4.270911955
2,8.454128015,-12.67883853,-4.22471052
